,/wiki/Canarian_Independent_Groups,/wiki/Confederation_of_the_Greens,/wiki/Galician_Coalition,/wiki/Galician_Nationalist_Bloc,/wiki/Galician_Socialist_Party%E2%80%93Galician_Left,/wiki/PSM%E2%80%93Nationalist_Agreement,/wiki/Progressives_for_the_Balearic_Islands,/wiki/Unity_for_the_Isles,AIC,AP,AP-PDP-PL,AP–PDP,ARM,Amaiur logo.svg,Aralar,BNG,BNG–Nós,C's,CC,CDC,CDS,CG,CHA,CUP,CiU,Compromís,Cs,DiL,EA,EE,EHB.png,ERC,ERC–CatSí,FAC,GBai,HB,ICV,IU,IU–LV,IU–UPeC,Isotipo Unidos Podemos.svg,LV,Lead,Més,NCa,NI/IC,NaBai,PA,PACMA,PAP,PAR,PCE,PDeCAT,PIB,PNV,PP,PRC,PRD,PSG–EG,PSM,PSOE,Podemos,Turnout,UCD,UIB,UPN,UPyD,UV,Unnamed: 0,Vox,date,eQuo,error,firm,size,Party_poll,Newspaper_poll,Polling_firm,Number_polling_firms
27,,,,,23.0,,,,,,,,,,,0.0,,,,,8.5,,,,4.5,,,,,0.5,,,,,,1.0,,6.5,,,,,16.0,,,,,,,,,,,,1.0,0.0,,,,,62.0,0.0,,,,,,0.8,27,,1989-09-03,,,Sigma Dos/Tiempo,800.0,False,Tiempo,Sigma Dos,1
28,,,,,25.1,,,,,,,,,,,0.0,,,,,9.2,,,,5.2,,,,,1.1,,,,,,1.4,,6.4,,,,,15.5,,,,,,,,,,,,1.4,0.0,,,,,65.7,0.0,,,,,,0.9,28,,1989-08-30,,,DYM/Cambio 16,1000.0,False,Cambio 16,DYM,1
30,,,,,26.6,,,,,,,,,,,0.0,,,,,14.6,,,,5.1,,,,,,,,,,,,,7.1,,,,,12.9,,,,,,,,,,,,1.2,0.0,,,,,66.1,0.0,,,,,,,30,,1989-05-11,,,CIS,4459.0,False,,CIS,1
31,,,,,26.5,,,,,,,,,,,0.0,,,,,12.6,,,,6.4,,,,,,,,,,,,,6.4,,,,,12.1,,,,,,,,,,,,,0.0,,,,,65.1,0.0,,,,,,,31,,1989-04-10,,,Opina/La Vanguardia,1610.0,False,La Vanguardia,Opina,1
32,,,,,30.1,,,,,,,,,,,0.0,,,,,14.6,,,,4.1,,,,,,,,,,,,,7.6,,,,,5.0,,,,,,,,,,,,,0.0,,,,,65.2,0.0,,,,,,,32,,1989-01-30,,,Gallup/Cambio 16,600.0,False,Cambio 16,Gallup,1
33,,,,,,,,,,23.1,,,,,,0.0,,,,,13.2,,,,6.2,,,,,,,,,,,,,6.6,,,,,14.8,,,,,,,,,,,,,23.1,,,,,37.9,0.0,,,,,,,33,,1989-01-18,,,Opina/La Vanguardia,1621.0,False,La Vanguardia,Opina,1
34,,,,,,,,,,20.8,,,,,,0.0,,,,,13.7,,,,4.5,,,,,,,,,,,,,9.1,,,,,16.7,,,,,,,,,,,,,20.8,,,,,37.5,0.0,,,,,,,34,,1989-01-15,,,ICP–Research/Diario 16,1200.0,False,Diario 16,ICP–Research,2
35,,,,,,,,,,23.0,,,,,,0.0,,,,,12.0,,,,5.5,,,,,,,,,,,1.5,,8.5,,,,,14.0,,,,,,,,,,,,1.5,23.0,,,,,37.0,0.0,,,,,,,35,,1989-01-13,,,Metra Seis/El Independiente,1000.0,False,El Independiente,Metra Seis,1
36,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,36,,1988-12-19,,,CIS,2498.0,False,,CIS,1
37,,,,,,,,,,28.0,,,,,,0.0,,,,,10.0,,,,6.8,,,,,,,,,,,,,8.0,,,,,8.0,,,,,,,,,,,,,28.0,,,,,36.0,0.0,,,,,,,37,,1988-12-13,,,Opina/La Vanguardia,,False,La Vanguardia,Opina,1
38,,,,,,,,,,19.0,,,,,,0.0,,,,,11.0,,,,5.0,,,,,,,,,,,,,9.0,,,,,22.0,,,,,,,,,,,,1.0,19.0,,,,,41.0,0.0,,,,,,,38,,1988-12-11,,,ICP–Research/Diario 16,,False,Diario 16,ICP–Research,2
39,,,,,,,,,,27.1,,,,,,0.0,,,,,9.9,,,,7.2,,,,,,,,,,,,,7.8,,,,,7.2,,,,,,,,,,,,,27.1,,,,,34.3,0.0,,,,,,,39,,1988-11-30,,,Opina/La Vanguardia,1600.0,False,La Vanguardia,Opina,1
40,,,,,,,,,,26.0,,,,,,0.0,,,,,14.0,,,,,,,,,,,,,,,,,7.0,,,,,13.0,,,,,,,,,,,,,26.0,,,,,39.0,0.0,,,,,,,40,,1988-11-21,,,Eco Consulting/CDS,1832.0,True,CDS,Eco Consulting,1
41,,,,,,,,,,24.9,,,,,,0.0,,,,,14.2,,,,5.0,,,,,,,,,,,,,4.2,,,,,15.0,,,,,,,,,,,,,24.9,,,,,39.9,0.0,,,,,,,41,,1988-11-17,,,Iope–Etmar/El Periódico,700.0,False,El Periódico,Iope–Etmar,2
42,,,,,,,,,,15.5,,,,,,0.0,,,,,13.6,,,,5.7,,,,,,,,,,,,,7.5,,,,,25.5,,,,,,,,,,,,0.7,15.5,,,,,41.0,0.0,,,,,,,42,,1988-09-25,,,ICP–Research/Diario 16,,False,Diario 16,ICP–Research,2
43,,,,,,,,,,24.0,,,,,,0.0,,,,,14.0,,,,,,,,,,,,,,,,,7.0,,,,,14.0,,,,,,,,,,,,,24.0,,,,,38.0,0.0,,,,,,,43,,1988-06-27,,,Emopública/Diario 16,,False,Diario 16,Emopública,1
44,,,,,,,,,,26.0,,,,,,0.0,,,,,11.5,,,,3.5,,,,,,,,,,,1.5,,5.5,,,,,10.0,,,,,,,,,,,,,26.0,,,,,36.0,0.0,,,,,,,44,,1988-05-19,,,Emopública–Burke/AP,1800.0,True,AP,Emopública–Burke,2
45,,,,,,,,,,24.0,,,,,,0.0,,,,,15.0,,,,,,,,,,,,,,,,,7.0,,,,,10.0,,,,,,,,,,,,,24.0,,,,,34.0,0.0,,,,,,,45,,1988-04-24,,,Emopública/Diario 16,,False,Diario 16,Emopública,1
46,,,,,,,,,,22.0,,,,,,0.0,,,,,12.0,,,,,,,,,,,,,,,,,5.0,,,,,20.0,,,,,,,,,,,,,22.0,,,,,42.0,0.0,,,,,,,46,,1988-03-10,,,CIS,2495.0,False,,CIS,1
47,,,,,,,,,,23.0,,,,,,0.0,,,,,17.0,,,,,,,,,,,,,,,,,8.0,,,,,15.0,,,,,,,,,,,,,23.0,,,,,38.0,0.0,,,,,,,47,,1988-02-28,,,Emopública/Diario 16,,False,Diario 16,Emopública,1
48,,,,,,,,,,23.0,,,,,,0.0,,,,,12.5,,,,,,,,,,,,,,,,,5.5,,,,,20.9,,,,,,,,,,,,,23.0,,,,,43.9,0.0,,,,,,,48,,1988-02-16,,,CIS,2485.0,False,,CIS,1
49,,,,,,,,,,25.0,,,,,,0.0,,,,,13.0,,,,,,,,,,,,,,,,,6.0,,,,,19.0,,,,,,,,,,,,,25.0,,,,,44.0,0.0,,,,,,,49,,1988-02-01,,,CIS,2478.0,False,,CIS,1
50,,,,,,,,,,23.0,,,,,,0.0,,,,,14.5,,,,,,,,,,,,,,,,,6.0,,,,,19.0,,,,,,,,,,,,,23.0,,,,,42.0171,0.0,,,,,,,50,,1988-01-26,,,CIS,2497.0,False,,CIS,1
51,,,,,,,,,,20.0,,,,,,0.0,,,,,11.0,,,,3.0,,,,,1.0,,,,,,2.0,,4.0,,,,,17.0,,,,,,,,,,,,1.0,20.0,,,,,37.0,0.0,,,,,,,51,,1988-01-24,,,Emopública–Burke/AP,,True,AP,Emopública–Burke,2
52,,,,,,,,,,26.0,,,,,,0.0,,,,,14.0,,,,5.0,,,,,,,,,,,,,6.0,,,,,14.0,,,,,,,,,,,,,26.0,,,,,40.0,0.0,,,,,,,52,,1988-01-17,,,Emopública/Diario 16,,False,Diario 16,Emopública,1
53,,,,,,,,,,25.0,,,,,,0.0,,,,,14.0,,,,6.0,,,,,,,,,,,,,5.0,,,,,14.0,,,,,,,,,,,,,25.0,,,,,39.0,0.0,,,,,,,53,,1987-12-20,,,Emopública/Diario 16,,False,Diario 16,Emopública,1
54,,,,,,,,,,27.0,,,,,,0.0,,,,,17.0,,,,,,,,,,,,,,,,,0.0,,,,,13.0,,,,,,,,,,,,,27.0,,,,,40.0,0.0,,,,,,,54,,1987-11-15,,,Emopública/Diario 16,,False,Diario 16,Emopública,1
55,,,,,,,,,,23.0,,,,,,0.0,,,,,11.0,,,,3.5,,,,,1.0,,,,,,2.0,,4.0,,,,,15.0,,,,,,,,,,,,1.0,23.0,,,,,38.0,0.0,,,,,,,55,,1987-10-25,,,Emopública–Burke/AP,,True,AP,Emopública–Burke,2
56,,,,,,,,,,20.0,,,,,,0.0,,,,,24.0,,,,,,,,,,,,,,,,,0.0,,,,,10.0,,,,,,,,,,,,,20.0,,,,,34.0,0.0,,,,,,,56,,1987-10-11,,,Emopública/Diario 16,,False,Diario 16,Emopública,1
57,,,,,,,,,,20.4,,,,,,0.0,,,,,21.9,,,,5.6,,,,,,,,,,,,,5.8,,,,,13.6,,,,,,,,,,,,,20.4,,,,,35.5,0.0,,,,,,,57,,1987-09-06,,,Metra Seis/El Independiente,,False,El Independiente,Metra Seis,1
60,,,,,,,,,,23.0,,,,,,0.0,,,,,17.0,,,,,,,,,,,,,,,,,8.0,,,,,12.0,,,,,,,,,,,,,23.0,,,,,35.0,0.0,,,,,,,60,,1987-04-16,,,Sofemasa/AP,6000.0,True,AP,Sofemasa,1
61,,,,,,,,,,23.1,,,,,,0.0,,,,,11.6,,,,,,,,,,,,,,,,,0.0,,,,,18.9,,,,,,,,,,,,,23.1,,,,,42.0,0.0,,,,,,,61,,1986-12-23,,,Gallup/El Periódico,1994.0,False,El Periódico,Gallup,1
62,0.7,,,,,,,,,21.9,,,,,,0.0,,,,,14.2,,,,5.4,,,,,,,,,,,,,4.5,,,,,22.8,,,,,,,,,,,,1.2,21.9,,,,,44.7,0.0,,,,,,,62,,1986-09-21,,,CIS,2813.0,False,,CIS,1
66,,,,,,,,,,,,,,,,0.0,,,,,,,,,4.414,,,,,,,0.71,,,,,,11.222,,,,,5.4,,,,,,,,,,,,1.46,40.216,,,,,34.8125,0.0,,,,,,,1,,1996-03-03,,,Eco Consulting/RTVE,,False,RTVE,Eco Consulting,1
67,,,,,,,,,,,,,,,,0.0,,,,,,,,,4.614,,,,,,,0.81,,,,,,11.219,,,,,6.0,,,,,,,,,,,,1.15,40.7167,,,,,34.7124,0.0,,,,,,,2,,1996-03-03,,,Demoscopia/Tele 5,,False,Tele 5,Demoscopia,1
68,,,,0.51,,,,,,,,,,,,1.4300000000000002,,,0.94,,,,,,4.213,,,,0.51,,,0.81,,,,0.82,,11.422,,,,,7.4,,,,,,,,,,,,1.66,41.1164,,,,,33.712,0.0,,,,,,,3,,1996-03-03,,,Sigma Dos/Antena 3,,False,Antena 3,Sigma Dos,1
69,,,,,,,,,,,,,,,,0.0,,,,,,,,,4.0,,,,,,,,,,,,,11.5,,,,,2.4,,,,,,,,,,,,0.9,39.2,,,,,36.8,0.0,76.0,,,,,,4,,1996-03-01,,,CIS,2491.0,False,,CIS,1
70,,,,,,,,,,,,,,,,0.7,,,0.62,,,,,,4.214,,,,,,,0.81,,,,0.72,,12.225,,,,,10.9,,,,,,,,,,,,1.56,42.317,,,,,31.4113,0.0,,,,,,,5,,1996-02-23,,,Sigma Dos–Vox Pública/El Mundo,12990.0,True,El Mundo,Sigma Dos–Vox Pública,2
71,,,,,,,,,,,,,,,,0.0,,,,,,,,,4.414,,,,,,,,,,,,,11.921,,,,,4.5,,,,,,,,,,,,,40.6158,,,,,36.1136,0.0,,,,,,,6,,1996-02-22,,,Inner Line,6048.0,False,,Inner Line,1
72,,,,0.3,,,,,,,,,,,,0.9099999999999999,,,0.83,,,,,,4.213,,,,0.41,,,0.91,,,,0.52,,12.324,,,,,9.0,,,,,,,,,,,,1.15,42.417,,,,,33.4118,0.0,80,,,,,0.6,7,,1996-02-21,,,Demoscopia/El País,3500.0,False,El País,Demoscopia,1
73,,,,,,,,,,,,,,,,0.0,,,,,,,,,4.5,,,,,,,,,,,,,11.4,,,,,7.1,,,,,,,,,,,,1.3,41.2,,,,,34.1,0.0,75.8,,,,,,8,,1996-02-21,,,CIS,6642.0,False,,CIS,1
74,,,,0.3,,,,,,,,,,,,1.01,,,0.73,,,,,,4.214,,,,0.51,,,0.81,,,,0.71,,11.92,,,,,9.5,,,,,,,,,,,,1.35,41.7173,,,,,32.2116,0.0,77–79,,,,,0.5,9,,1996-02-21,,,Metra Seis/Colpisa,15000.0,False,Colpisa,Metra Seis,1
75,,,,,,,,,,,,,,,,0.0,,,,,,,,,4.514,,,,,,,1.01,,,,,,10.519,,,,,6.0,,,,,,,,,,,,1.55,41.016,,,,,35.0135,0.0,,,,,,,10,,1996-02-20,,,Opina/La Vanguardia,2369.0,False,La Vanguardia,Opina,1
76,,,,,,,,,,,,,,,,0.0,,,,,,,,,4.014,,,,,,,,,,,,,12.023,,,,,9.0,,,,,,,,,,,,,41.0,,,,,32.0,0.0,79.5,,,,,,11,,1996-02-19,,,Metra Seis/Colpisa,7566.0,False,Colpisa,Metra Seis,1
77,,,,0.4,,,,,,,,,,,,1.01,,,0.72,,,,,,4.514,,,,0.51,,,0.91,,,,0.72,,11.718,,,,,7.7,,,,,,,,,,,,1.35,41.2165,,,,,33.5119,0.0,84,,,,,,12,,1996-02-16,,,Vox Pública/El Periódico,12069.0,True,El Periódico,Vox Pública,1
78,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,13,,1996-02-14,,,ABC,25000.0,False,,ABC,1
79,,,,,,,,,,,,,,,,0.0,,,,,,,,,3.6,,,,,,,,,,,,,12.5,,,,,4.1,,,,,,,,,,,,,40.3,,,,,36.2,0.0,,,,,,,14,,1996-02-10,,,PSOE,2400.0,True,,PSOE,1
80,,,,,,,,,,,,,,,,0.0,,,,,,,,,4.213,,,,,,,,,,,,,12.822,,,,,11.6,,,,,,,,,,,,0.84,44.1176,,,,,32.5117,0.0,,,,,,,15,,1996-02-10,,,Tábula V/ABC,3035.0,False,ABC,Tábula V,1
81,,,,,,,,,,,,,,,,0.0,,,,,,,,,4.2,,,,,,,,,,,,,11.9,,,,,10.3,,,,,,,,,,,,1.3,41.8,,,,,31.5,0.0,,,,,,,16,,1996-02-08,,,Sigma Dos/El Mundo,1000.0,False,El Mundo,Sigma Dos,1
82,,,,,,,,,,,,,,,,0.0,,,,,,,,,4.5,,,,,,,,,,,,,12.8,,,,,9.1,,,,,,,,,,,,1.3,41.7,,,,,32.6,0.0,80,,,,,,17,,1996-02-07,,,Demoscopia/El País,3500.0,False,El País,Demoscopia,1
83,,,,,,,,,,,,,,,,0.0,,,,,,,,,4.513,,,,,,,1.01,,,,,,11.019,,,,,6.5,,,,,,,,,,,,1.55,40.516,,,,,34.0135,0.0,75–80,,,,,,18,,1996-02-06,,,Opina/La Vanguardia,1185.0,False,La Vanguardia,Opina,1
84,,,,0.51,,,,,,,,,,,,1.22,,,1.03,,,,,,4.8,,,,0.51,,,0.51,,,,0.92,,13.5,,,,,9.5–11.0,,,,,,,,,,,,1.15,39.0,,,,,28.0,0.0,,,,,,,19,,1996-02-05,,,Tábula V/ABC,4503.0,False,ABC,Tábula V,1
85,,,,,,,,,,,,,,,,0.0,,,,,,,,,4.4,,,,,,,,,,,,,12.0,,,,,10.7,,,,,,,,,,,,,42.5,,,,,31.8,0.0,,,,,,,20,,1996-01-31,,,Vox Pública/El Periódico,2028.0,True,El Periódico,Vox Pública,1
86,,,,,,,,,,,,,,,,0.0,,,,,,,,,5.0,,,,,,,,,,,,,12.4,,,,,4.3,,,,,,,,,,,,1.3,38.8,,,,,34.5,0.0,77,,,,,,21,,1996-01-31,,,Gallup/El Correo,2010.0,False,El Correo,Gallup,1
87,,,,,,,,,,,,,,,,0.0,,,,,,,,,4.2,,,,,,,,,,,,,13.5,,,,,10.5,,,,,,,,,,,,1.0,42.0,,,,,31.5,0.0,79,,,,,,22,,1996-01-29,,,PP,4551.0,True,,PP,1
88,,,,,,,,,,,,,,,,0.0,,,,,,,,,5.518,,,,,,,,,,,,,11.022,,,,,13.0,,,,,,,,,,,,1.54,43.0168,,,,,30.0117,0.0,79,,,,,,23,,1996-01-26,,,Tábula V/ABC,1200.0,False,ABC,Tábula V,1
89,,,,0.3,,,,,,,,,,,,0.8999999999999999,,,0.6,,,,,,4.0,,,,0.4,,,0.8,,,,0.7,,12.6,,,,,10.0,,,,,,,,,,,,1.4,41.4,,,,,31.4,0.0,,,,,,,24,,1996-01-25,,,Sigma Dos–Vox Pública/El Mundo,11000.0,True,El Mundo,Sigma Dos–Vox Pública,2
90,,,,,,,,,,,,,,,,0.0,,,,,,,,,4.5,,,,,,,,,,,,,12.2,,,,,6.7,,,,,,,,,,,,1.1,40.5,,,,,33.8,0.0,78,,,,,,25,,1996-01-14,,,Demoscopia/El País,2500.0,False,El País,Demoscopia,1
91,,,,,,,,,,,,,,,,0.0,,,,,0.4,,,,4.4,,,,,,,,,,,,,11.0,,,,,6.9,,,,,,,,,,,,1.3,40.6,,,,,33.7,0.0,78.1,,,,,,26,,1996-01-14,,,CIS,2499.0,False,,CIS,1
92,,,,,,,,,,,,,,,,0.0,,,,,,,,,4.415,,,,,,,,,,,,,13.027,,,,,9.7,,,,,,,,,,,,1.35,40.6167,,,,,30.9115,0.0,,,,,,,27,,1996-01-11,,,Sigma Dos/El Mundo,1000.0,False,El Mundo,Sigma Dos,1
93,,,,,,,,,,,,,,,,0.0,,,,,,,,,4.514,,,,,,,1.01,,,,,,10.52,,,,,5.5,,,,,,,,,,,,1.54,39.5155,,,,,34.0135,0.0,,,,,,,28,,1996-01-09,,,Opina/La Vanguardia,1500.0,False,La Vanguardia,Opina,1
94,,,,,,,,,,,,,,,,0.0,,,,,,,,,4.6,,,,,,,,,,,,,12.9,,,,,6.3,,,,,,,,,,,,0.9,39.0,,,,,32.7,0.0,77,,,,,,29,,1996-01-07,,,Gallup/El Correo,2031.0,False,El Correo,Gallup,1
95,,,,,,,,,,,,,,,,0.0,,,,,,,,,4.616,,,,,,,,,,,,,13.129,,,,,9.1,,,,,,,,,,,,1.25,40.3165,,,,,31.2115,0.0,,,,,,,30,,1996-01-04,,,Sigma Dos–Vox Pública/El Mundo,1000.0,True,El Mundo,Sigma Dos–Vox Pública,2
96,,,,,,,,,,,,,,,,0.0,,,,,,,,,4.716,,,,,,,,,,,,,13.329,,,,,8.7,,,,,,,,,,,,1.25,40.2165,,,,,31.5115,0.0,,,,,,,31,,1995-12-20,,,Sigma Dos–Vox Pública/El Mundo,1000.0,True,El Mundo,Sigma Dos–Vox Pública,2
97,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,16.0,,,,,,,,,,,,,41.0,,,,,25.0,0.0,,,,,,,32,,1995-12-18,,,Tábula V,,False,,Tábula V,1
98,,,,,,,,,,,,,,,,0.0,,,,,0.5,,,,5.0,,,,,,,,,,,,,11.9,,,,,6.8,,,,,,,,,,,,1.3,40.5,,,,,33.7,0.0,78.8,,,,,,33,,1995-12-14,,,CIS,2478.0,False,,CIS,1
