/wiki/Andalusian_Progress_Party,/wiki/Canarian_Independent_Groups,/wiki/Confederation_of_the_Greens,/wiki/Democratic_Party_of_the_New_Left,/wiki/Galician_Coalition,/wiki/Galician_Nationalist_Bloc,/wiki/Galician_Socialist_Party%E2%80%93Galician_Left,/wiki/PSM%E2%80%93Nationalist_Agreement,/wiki/Progressives_for_the_Balearic_Islands,/wiki/Ruiz-Mateos_Group,/wiki/Unity_for_the_Isles,AP,AP-PDP-PL,AP–PDP,Amaiur logo.svg,Aralar,BNG–Nós,C's,CC,CDC,CDS,CHA,CUP,CiU,Compromís,Cs,DiL,EA,EE,EHB.png,ERC,ERC–CatSí,FAC,GBai,HB,ICV,IU,IU–LV,IU–UPeC,Isotipo Unidos Podemos.svg,Més,NC,NCa,NaBai,PA,PACMA,PAR,PCE,PDP,PDeCAT,PNV,PP,PRC,PRD,PSOE,Podemos,UA,UCD,UPCA,UPN,UPyD,UV,Unnamed: 0,Vox,date,eQuo,error,firm,lead,size,turnout,unio.cat
,0.32,1.82,,,,,,,1.91,,w.PP,,,,,,,,,10.323,,,4.917,,,,0.51,0.62,,0.41,,,,1.15,,8.016,,,,,,,,1.22,,0.31,,w.PP,,1.45,24.2103,,,39.2168,,,,,,,0.31,12,,1989-10-17,,,Sigma Dos/El Mundo[p 9][p 6][p 13],15.0,8400.0,,
,,1.80/1,,,,,,,2.10/1,,w.PP,,,,,,,,,9.320/21,,,4.817/18,,,,0.61/2,0.62,,,,,,1.0475,,7.514/16,,,,,,,,1.22,,,,w.PP,,1.15,23.695/101,,,40.1173/183,,,,,,,,13,,1989-10-17,,,Gruppo/Colpisa[p 9],16.5,1500.0,70,
,?1,,,?0/1,,,,,1.20,,w.PP,,,,,,,,,9.116/19,,,5.018,,,,0.41,0.72,,?0/1,,,,1.04/5,,8.015/16,,,,,,,,?2/3,,?1,,w.PP,,1.55/7,22.895/104,,,41.6176/182,,,,,,,?1,14,,1989-10-15,,,Demoscopia/El País[p 9][p 14][p 15][p 16],18.8,6200.0,68,
,0.11,,,0.51,,,,,3.30/1,,w.PP,,,,,,,,,9.018,,,4.818/19,,,,1.01/2,1.02,,0.71,,,,0.52/3,,8.815,,,,,,,,1.43/4,,,,w.PP,,2.07/8,24.0100/102,,,41.0172/178,,,,,,,0.70/1,15,,1989-10-11,,,Opina/La Vanguardia[p 17][p 18],17.0,2800.0,67,
,,,,,,,,,,,w.PP,,,,,,,,,8.0,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,w.PP,,,20.0,,,40.0,,,,,,,,16,,1989-10-06,,,PSOE[p 19],20.0,,,
,,1.80/2,,,,,,,2.00/2,,w.PP,,,,,,,,,9.018/19,,,4.716/18,,,,0.72,0.72/3,,,,,,1.15,,7.414/16,,,,,,,,1.23,,,,w.PP,,1.15/6,24.195/103,,,38.3173/179,,,,,,,,17,,1989-10-01,,,Gruppo/Colpisa[p 9],14.2,1500.0,67–72,
,,,,,,,,,1.20,,w.PP,,,,,,,,,7.314/17,,,4.617,,,,0.3?,0.6?,,?1,,,,0.93/5,,8.714/16,,,,,,,,?2/3,,,,w.PP,,1.15/8,23.893/99,,,42.1178/187,,,,,,,,18,,1989-09-30,,,Demoscopia/El País[p 9][p 20][p 21][p 22],18.3,6200.0,68,
,,,,,,,,,,,w.PP,,,,,,,,,?14/15,,,,,,,,,,,,,,,,?11/15,,,,,,,,,,,,w.PP,,,?93/99,,,?175/185,,,,,,,,19,,1989-09-27,,,CIS[p 23][p 24],,2482.0,,
,,,,,,,,,?0/2,,w.PP,,,,,,,,,?14/16,,,?15/16,,,,?3,?3,,,,,,?4/5,,?12/14,,,,,,,,?4/5,,,,w.PP,,?4/5,?97/105,,,?178/186,,,,,,,,20,,1989-09-22,,,Tribuna[p 25],,,,
,,,,,,,,,?0/1,,w.PP,,,,,,,,,?15/18,,,?18,,,,?2/3,,,,,,,?6,,?10,,,,,,,,?6,,,,w.PP,,?4/5,?100,,,?178/180,,,,,,,,21,,1989-09-22,,,AEB/Cinco Días[p 25],,,60,
,,,,,,,,,,,w.PP,,,,,,,,,9.2,,,5.0,,,,0.5,0.6,,,,,,1.0,,8.0,,,,,,,,,,,,w.PP,,1.3,22.3,,,38.2,,,,,,,,22,,1989-09-22,,,Metra Seis/El Independiente[p 9],15.9,13950.0,,
,,,,,,,,,,,w.PP,,,,,,,,,9.1,,,4.7,,,,,,,,,,,1.4,,10.0,,,,,,,,,,,,w.PP,,1.3,20.2,,,38.2,,,,,,,,23,,1989-09-19,,,ICP–Research/Diario 16[p 9][p 16],18.0,1600.0,,
,,,,,,,,,,,w.PP,,,,,,,,,9.018,,,,,,,,,,,,,,,,8.012,,,,,,,,,,,,w.PP,,,21.096,,,43.0178/180,,,,,,,,24,,1989-09-14,,,CIS[p 23][p 24],22.0,27421.0,,
,,,,,,,,,,,w.PP,,,,,,,,,10.0–11.0,,,4.5–4.7,,,,0.6,0.7,,,,,,1.0–1.1,,8.0–9.0,,,,,,,,,,,,w.PP,,1.0–1.1,22.5–24.0,,,38.0–39.0,,,,,,,,25,,1989-09-08,,,Sigma Dos/Tiempo[p 9],15.0–15.5,800.0,,
,?2,,,?0,,,,,,,w.PP,,,,,,,,,8.418/19,,,3.815/16,,,,?2/3,0.62,,,,,,0.83,,7.612/13,,,,,,,,2.04/5,,?1,,w.PP,,1.03/4,22.894/97,,,43.0185/188,,,,,,,?2/3,26,,1989-09-08,,,Iope–Etmar/El Periódico[p 26],20.2,1483.0,,
,,,,,,,,,,,w.PP,,,,,,,,,8.5–9.5,,,4.5–5.0,,,,0.8–1.1,0.5–0.8,,,,,,1.0–2.0,,6.5–7.5,,,,,,,,,,,,w.PP,,1.0–1.2,23.0–25.0,,,39.0–41.0,,,,,,,,27,,1989-09-03,,,Sigma Dos/Tiempo[p 9],16.0,800.0,,
,,,,,,,,,,,w.PP,,,,,,,,,9.2,,,5.2,,,,0.9,1.1,,,,,,1.4,,6.4,,,,,,,,,,,,w.PP,,1.4,25.1,,,40.6,,,,,,,,28,,1989-08-30,,,DYM/Cambio 16[p 9],15.5,1000.0,,
,0.41,1.00,,0.20,,0.20,,,3.82,,w.PP,,,,,,,,,7.113,,,4.117,,,,0.93,0.72,,0.51,,,,1.46,,6.110,,,,,,,,1.75,,,,w.PP,,1.35,21.496,,,39.6187,,,,,,,0.72,29,,1989-06-15,,,1989 EP election,18.2,,54.7,
,,,,,,,,,,,w.PP,,,,,,,,,14.6,,,5.1,,,,,,,,,,,,,7.1,,,,,,,,,,,,w.PP,,1.2,26.6,,,39.5,,,,,,,,30,,1989-05-11,,,CIS[p 27],12.9,4459.0,,
,,,,,,,,,,,w.PP,,,,,,,,,12.6,,,6.4,,,,,,,,,,,,,6.4,,,,,,,,,,,,w.PP,,,26.5,,,38.6,,,,,,,,31,,1989-04-10,,,Opina/La Vanguardia[p 28],12.1,1610.0,,
,,,,,,,,,,,w.PP,,,,,,,,,14.6,,,4.1,,,,,,,,,,,,,7.6,,,,,,,,,,,,w.PP,,,30.1,,,35.1,,,,,,,,32,,1989-01-30,,,Gallup/Cambio 16[p 16],5.0,600.0,,
,,,,,,,,,,,23.1,,,,,,,,,13.2,,,6.2,,,,,,,,,,,,,6.6,,,,,,,,,,,,,,,,,,37.9,,,,,,,,33,,1989-01-18,,,Opina/La Vanguardia[p 29],14.8,1621.0,,
,,,,,,,,,,,20.8,,,,,,,,,13.7,,,4.5,,,,,,,,,,,,,9.1,,,,,,,,,,,,,,,,,,37.5,,,,,,,,34,,1989-01-15,,,ICP–Research/Diario 16[p 16],16.7,1200.0,,
,,,,,,,,,,,23.0,,,,,,,,,12.0,,,5.5,,,,,,,,,,,1.5,,8.5,,,,,,,,,,,,,,1.5,,,,37.0,,,,,,,,35,,1989-01-13,,,Metra Seis/El Independiente[p 16],14.0,1000.0,,
,,,,,,,,,,,?50,,,,,,,,,?60/70,,,,,,,,,,,,,,,,?25/30,,,,,,,,,,,,,,,,,,?140/145,,,,,,,,36,,1988-12-19,,,CIS[p 30],,2498.0,,
,,,,,,,,,,,28.0,,,,,,,,,10.0,,,6.8,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,36.0,,,,,,,,37,,1988-12-13,,,Opina/La Vanguardia[p 31],8.0,,,
,,,,,,,,,,,19.0,,,,,,,,,11.0,,,5.0,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,1.0,,,,41.0,,,,,,,,38,,1988-12-11,,,ICP–Research/Diario 16,22.0,,,
,,,,,,,,,,,27.1,,,,,,,,,9.9,,,7.2,,,,,,,,,,,,,7.8,,,,,,,,,,,,,,,,,,34.3,,,,,,,,39,,1988-11-30,,,Opina/La Vanguardia[p 29][p 32],7.2,1600.0,,
,,,,,,,,,,,26.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,39.0,,,,,,,,40,,1988-11-21,,,Eco Consulting/CDS[p 33],13.0,1832.0,,
,,,,,,,,,,,24.9,,,,,,,,,14.2,,,5.0,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,,,,39.9,,,,,,,,41,,1988-11-17,,,Iope–Etmar/El Periódico[p 34],15.0,700.0,,
,,,,,,,,,,,15.5,,,,,,,,,13.6,,,5.7,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,0.7,,,,41.0,,,,,,,,42,,1988-09-25,,,ICP–Research/Diario 16[p 35],25.5,,,
,,,,,,,,,,,24.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,38.0,,,,,,,,43,,1988-06-27,,,Emopública/Diario 16,14.0,,,
,,,,,,,,,,,26.0–27.0100/115,,,,,,,,,11.5–12.525/30,,,3.5–4.0?,,,,<1.0?,<1.0?,,,,,,1.5?,,5.5–6.5?,,,,,,,,,,,,,,<1.0?,,,,36.0–37.0160/170,,,,,,,,44,,1988-05-19,,,Emopública–Burke/AP[p 36][p 37],10.0,1800.0,,
,,,,,,,,,,,24.0,,,,,,,,,15.0,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,34.0,,,,,,,,45,,1988-04-24,,,Emopública/Diario 16,10.0,,,
,,,,,,,,,,,22.0,,,,,,,,,12.0–14.0,,,,,,,,,,,,,,,,5.0–6.0,,,,,,,,,,,,,,,,,,42.0,,,,,,,,46,,1988-03-10,,,CIS[p 38],20.0,2495.0,,
,,,,,,,,,,,23.0,,,,,,,,,17.0,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,38.0,,,,,,,,47,,1988-02-28,,,Emopública/Diario 16,15.0,,,
,,,,,,,,,,,23.0,,,,,,,,,12.5,,,,,,,,,,,,,,,,5.5,,,,,,,,,,,,,,,,,,43.9,,,,,,,,48,,1988-02-16,,,CIS[p 39],20.9,2485.0,,
,,,,,,,,,,,25.0,,,,,,,,,13.0,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,44.0,,,,,,,,49,,1988-02-01,,,CIS[p 40],19.0,2478.0,,
,,,,,,,,,,,23.0?,,,,,,,,,14.5?,,,,,,,,,,,,,,,,6.0?,,,,,,,,,,,,,,,,,,42.0171,,,,,,,,50,,1988-01-26,,,CIS,19.0,2497.0,,
,,,,,,,,,,,20.0–22.0,,,,,,,,,11.0–13.0,,,3.0–4.0,,,,<1.0,1.0,,,,,,2.0–4.0,,4.0–6.0,,,,,,,,,,,,,,1.0,,,,37.0–39.0,,,,,,,,51,,1988-01-24,,,Emopública–Burke/AP[p 36],17.0,,,
,,,,,,,,,,,26.0,,,,,,,,,14.0,,,5.0,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,40.0,,,,,,,,52,,1988-01-17,,,Emopública/Diario 16,14.0,,,
,,,,,,,,,,,25.0,,,,,,,,,14.0,,,6.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,39.0,,,,,,,,53,,1987-12-20,,,Emopública/Diario 16,14.0,,,
,,,,,,,,,,,27.0,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,54,,1987-11-15,,,Emopública/Diario 16,13.0,,,
,,,,,,,,,,,23.0–25.0,,,,,,,,,11.0–13.0,,,3.5–4.0,,,,<1.0,1.0,,,,,,2.0–4.0,,4.0–6.0,,,,,,,,,,,,,,1.0,,,,38.0–40.0,,,,,,,,55,,1987-10-25,,,Emopública–Burke/AP[p 36],15.0,,,
,,,,,,,,,,,20.0,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,,,,,,,56,,1987-10-11,,,Emopública/Diario 16[p 41],10.0,,,
,,,,,,,,,,,20.4,,,,,,,,,21.9,,,5.6,,,,,,,,,,,,,5.8,,,,,,,,,,,,,,,,,,35.5,,,,,,,,57,,1987-09-06,,,Metra Seis/El Independiente[p 42],13.6,,,
,0.52,0.60,,,,0.20,,,,,24.6108,,,,,,,,,10.323,,,4.416,,,,1.04,0.62,,0.61,,,,1.36,,5.39,,,,,,,,0.92,,0.51,,0.90,,1.15,,,,39.1169,,,,,,,0.82,58,,1987-06-10,,,1987 EP election,14.5,,68.5,
,0.7,0.1,,0.8,,0.3,,,,,20.9,,,,,,,,,9.8,,,5.2,,,,1.1,0.6,,0.4,,,,1.2,,7.9,,,,,,,,1.1,,0.7,,1.6,,1.2,,,,37.1,,,,,,,0.8,59,,1987-06-10,,,1987 local elections,16.2,,69.4,
,,,,,,,,,,,23.0,,,,,,,,,17.0,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,35.0,,,,,,,,60,,1987-04-16,,,Sofemasa/AP[p 43],12.0,6000.0,,
,,,,,,,,,,,23.1,,,,,,,,,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,<1.0,,,,,,42.0,,,,,,,,61,,1986-12-23,,,Gallup/El Periódico[p 44],18.9,1994.0,,
,,,,,,,,,,,21.9,,,,,,,,,14.2,,,5.4,,,,,,,,,,,,,4.5,,,,,,,,,,,,0.7,,1.2,,,,44.7,,,,,,,,62,,1986-09-21,,,CIS[p 45],22.8,2813.0,,
,0.31,0.20,,0.40,,0.20,,,,,26.0[a]105,,,,,,,,,9.219,,,5.018,,,,,0.52,,0.40,,,,1.15,,4.67,,,,,,,,0.50,,0.41,,w.CP,,1.56,,,,44.1184,,,,,,,0.31,63,,1986-06-22,,,1986 general election,18.1,,70.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,^ Result for People's Coalition.,,,,
,,,,,0.92,,,,,,,,,,,,,0.94,,0.2,,,4.616,,,,0.51,,,0.71,,,,0.72,,10.521,,,,,,,,0.50,,w.PP,,,,1.35,38.8156,,,37.6141,,,,,,,0.41,0,,1996-03-03,,,1996 general election,1.2,,77.4,
,,,,,,,,,,,,,,,,,,,,,,,4.414/15,,,,,,,0.71,,,,,,11.222/25,,,,,,,,,,w.PP,,,,1.46/7,40.2160/171,,,34.8125/135,,,,,,,,1,,1996-03-03,,,Eco Consulting/RTVE[p 1][p 2],5.4,,,
,,,,,,,,,,,,,,,,,,,,,,,4.614/15,,,,,,,0.81,,,,,,11.219/24,,,,,,,,,,w.PP,,,,1.15/6,40.7167/174,,,34.7124/131,,,,,,,,2,,1996-03-03,,,Demoscopia/Tele 5[p 1][p 2],6.0,,,
,,,,,0.92,,,,,,,,,,,,,0.94,,,,,4.213/14,,,,0.51,,,0.81,,,,0.82,,11.422/25,,,,,,,,,,w.PP,,,,1.66/7,41.1164/174,,,33.7120/132,,,,,,,0.51,3,,1996-03-03,,,Sigma Dos/Antena 3[p 1][p 2][p 3],7.4,,,
,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,11.5,,,,,,,,,,w.PP,,,,0.9,39.2,,,36.8,,,,,,,,4,,1996-03-01,,,CIS[p 4][p 5],2.4,2491.0,76.0,
,,,,,0.70,,,,,,,,,,,,,0.62/3,,,,,4.214/15,,,,?1,,,0.81,,,,0.72,,12.225/29,,,,,,,,,,w.PP,,,,1.56/7,42.3170/179,,,31.4113/123,,,,,,,?1,5,,1996-02-23,,,Sigma Dos–Vox Pública/El Mundo[p 6][p 7],10.9,12990.0,,
,,,,,,,,,,,,,,,,,,,,,,,4.414/15,,,,,,,,,,,,,11.921/22,,,,,,,,,,w.PP,,,,?5,40.6158/166,,,36.1136/142,,,,,,,,6,,1996-02-22,,,Inner Line[p 8][p 7],4.5,6048.0,,
,,,,,0.61,,,,,,,,,,,,,0.83,,,,,4.213/15,,,,0.41,,,0.91,,,,0.52,,12.324/27,,,,,,,,0.60/1,,w.PP,,,,1.15/6,42.4170/178,,,33.4118/128,,,,,,,0.30,7,,1996-02-21,,,Demoscopia/El País[p 9][p 7],9.0,3500.0,80,
,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,11.4,,,,,,,,,,w.PP,,,,1.3,41.2,,,34.1,,,,,,,,8,,1996-02-21,,,CIS[p 10][p 11],7.1,6642.0,75.8,
,,,,,0.71/2,,,,,,,,,,,,,0.73,,,,,4.214/16,,,,0.51,,,0.81/2,,,,0.71/2,,11.920/27,,,,,,,,0.50/1,,w.PP,,,,1.35/6,41.7173/181,,,32.2116/130,,,,,,,0.30/1,9,,1996-02-21,,,Metra Seis/Colpisa[p 7],9.5,15000.0,77–79,
,,,,,,,,,,,,,,,,,,,,,,,4.514/15,,,,,,,1.01/2,,,,,,10.519/21,,,,,,,,,,w.PP,,,,1.55/6,41.0160/170,,,35.0135/145,,,,,,,,10,,1996-02-20,,,Opina/La Vanguardia[p 12],6.0,2369.0,,
,,,,,?1/2,,,,,,,,,,,,,?3,,,,,4.014,,,,?1,,,?1,,,,?2,,12.023/29,,,,,,,,,,w.PP,,,,?5,41.0–42.0170/175,,,32.0–33.0120/128,,,,,,,?0/1,11,,1996-02-19,,,Metra Seis/Colpisa[p 7],9.0,7566.0,79.5,
,,,,,0.61,,,,,,,,,,,,,0.72/3,,,,,4.514/16,,,,0.51/2,,,0.91/2,,,,0.72,,11.718/27,,,,,,,,,,w.PP,,,,1.35,41.2165/175,,,33.5119/129,,,,,,,0.40/1,12,,1996-02-16,,,Vox Pública/El Periódico[p 13][p 7],7.7,12069.0,84,
,,,,,?2,,,,,,,,,,,,,?3,,,,,?13,,,,?1,,,?1,,,,?2,,?30/31,,,,,,,,,,w.PP,,,,?7,?172,,,?118/119,,,,,,,,13,,1996-02-14,,,ABC[p 14],,25000.0,,
,,,,,,,,,,,,,,,,,,,,,,,3.6,,,,,,,,,,,,,12.5,,,,,,,,,,w.PP,,,,,40.3,,,36.2,,,,,,,,14,,1996-02-10,,,PSOE[p 15],4.1,2400.0,,
,,,,,?2,,,,,,,,,,,,,?2,,,,,4.213/14,,,,,,,?1,,,,?3/4,,12.822/28,,,,,,,,,,w.PP,,,,0.84/5,44.1176/184,,,32.5117/125,,,,,,,,15,,1996-02-10,,,Tábula V/ABC[p 16],11.6,3035.0,,
,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,11.9,,,,,,,,,,w.PP,,,,1.3,41.8,,,31.5,,,,,,,,16,,1996-02-08,,,Sigma Dos/El Mundo[p 17][p 7],10.3,1000.0,,
,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,12.8,,,,,,,,,,w.PP,,,,1.3,41.7,,,32.6,,,,,,,,17,,1996-02-07,,,Demoscopia/El País[p 18][p 7],9.1,3500.0,80,
,,,,,,,,,,,,,,,,,,,,,,,4.513/15,,,,,,,1.01/2,,,,,,11.019/21,,,,,,,,,,w.PP,,,,1.55/6,40.5160/170,,,34.0135/140,,,,,,,,18,,1996-02-06,,,Opina/La Vanguardia[p 19],6.5,1185.0,75–80,
,,,,,0.71,,,,,,,,,,,,,1.03,,,,,4.8–5.015/17,,,,0.51,,,0.51,,,,0.92,,13.5–15.024/35,,,,,,,,,,w.PP,,,,1.15/6,39.0–41.0168/172,,,28.0–31.5108/123,,,,,,,0.51,19,,1996-02-05,,,Tábula V/ABC[p 20],9.5–11.0,4503.0,,
,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,12.0,,,,,,,,,,w.PP,,,,,42.5,,,31.8,,,,,,,,20,,1996-01-31,,,Vox Pública/El Periódico[p 21],10.7,2028.0,,
,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,12.4,,,,,,,,,,w.PP,,,,1.3,38.8,,,34.5,,,,,,,,21,,1996-01-31,,,Gallup/El Correo[p 7],4.3,2010.0,77,
,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,13.5,,,,,,,,,,w.PP,,,,1.0,42.0,,,31.5,,,,,,,,22,,1996-01-29,,,PP[p 22][p 23],10.5,4551.0,79,
,,,,,,,,,,,,,,,,,,,,,,,5.518,,,,,,,,,,,,,11.022,,,,,,,,,,w.PP,,,,1.54,43.0168/181,,,30.0117/130,,,,,,,,23,,1996-01-26,,,Tábula V/ABC[p 24],13.0,1200.0,79,
,,,,,0.6,,,,,,,,,,,,,0.6,,,,,4.0,,,,0.4,,,0.8,,,,0.7,,12.6,,,,,,,,,,w.PP,,,,1.4,41.4,,,31.4,,,,,,,0.3,24,,1996-01-25,,,Sigma Dos–Vox Pública/El Mundo[p 25][p 7],10.0,11000.0,,
,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,12.2,,,,,,,,,,,,,,1.1,40.5,,,33.8,,,,,,,,25,,1996-01-14,,,Demoscopia/El País[p 26][p 7],6.7,2500.0,78,
,,,,,,,,,,,,,,,,,,,,0.4,,,4.4,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,1.3,40.6,,,33.7,,,,,,,,26,,1996-01-14,,,CIS[p 27][p 28],6.9,2499.0,78.1,
,,,,,,,,,,,,,,,,,,,,,,,4.415/17,,,,,,,,,,,,,13.027/30,,,,,,,,,,,,,,1.35,40.6167/174,,,30.9115/120,,,,,,,,27,,1996-01-11,,,Sigma Dos/El Mundo[p 29][p 7],9.7,1000.0,,
,,,,,,,,,,,,,,,,,,,,,,,4.514/16,,,,,,,1.01,,,,,,10.520/22,,,,,,,,,,,,,,1.54/5,39.5155/165,,,34.0135/145,,,,,,,,28,,1996-01-09,,,Opina/La Vanguardia[p 30],5.5,1500.0,,
,,,,,,,,,,,,,,,,,,,,,,,4.6,,,,,,,,,,,,,12.9,,,,,,,,,,,,,,0.9,39.0,,,32.7,,,,,,,,29,,1996-01-07,,,Gallup/El Correo[p 7],6.3,2031.0,77,
,,,,,,,,,,,,,,,,,,,,,,,4.616/17,,,,,,,,,,,,,13.129/30,,,,,,,,,,,,,,1.25,40.3165/173,,,31.2115/120,,,,,,,,30,,1996-01-04,,,Sigma Dos–Vox Pública/El Mundo[p 31][p 32],9.1,1000.0,,
,,,,,,,,,,,,,,,,,,,,,,,4.716/17,,,,,,,,,,,,,13.329/30,,,,,,,,,,,,,,1.25,40.2165/173,,,31.5115/123,,,,,,,,31,,1995-12-20,,,Sigma Dos–Vox Pública/El Mundo[p 33][p 7],8.7,1000.0,,
