,firm,date,size,Turnout,PSOE,PP,IU–LV,CiU,PNV,UPyD,ERC,BNG,/wiki/Galician_Nationalist_Bloc,CC,PA,GBai,PSM,Compromís,/wiki/PSM%E2%80%93Nationalist_Agreement,UPN,Amaiur logo.svg,FAC,PRC,Lead
19,Sigma Dos/El Mundo[p 27][p 28],3 Nov 2011,3000,?,30.6117,47.6194,5.36,3.513,1.35,3.03,0.92,?2,?3,–,?1,–,–,w.PP,?3,?1,–,w.CC,–,17.0
20,DYM/ABC[p 29],3 Nov 2011,7612,?,34.2123/126,45.5187/188,5.46/7,3.612/14,1.24,2.82/3,1.32,0.61,0.72/3,–,–,w.equo,–,w.PP,1.35/6,–,–,w.CC,0.81,11.3
21,NC Report/La Razón[p 30][p 31],3 Nov 2011,5752,?,31.3119,46.0185,?11,?13,?6,?2,?1,?2,?3,–,–,?2,?1,w.PP,?4,?1,–,w.CC,–,14.7
22,Sigma Dos/El Mundo[p 32][p 33],31 Oct 2011,3000,?,30.7117,47.4193,5.46,3.513,1.25,3.13,0.92,?2,?3,–,–,?1,–,w.PP,?4,?1,–,w.CC,–,16.7
23,GAD3/COPE[p 34][p 35],31 Oct 2011,1200,71,32.7120/127,45.2182/189,5.14/7,3.311/14,1.24/6,3.42/3,0.81,0.82,0.93,–,0.10,0.30/1,–,w.PP,1.43/5,0.31/2,0.10,w.CC,0.40/1,12.5
24,NC Report/La Razón[p 36],28 Oct 2011,1000,69.1,31.4118/120,45.9184/187,7.410/11,2.912,1.15,2.82/3,0.81,1.33,0.93,?0/1,–,?2,–,w.PP,?5,?1,–,w.CC,–,14.5
25,Celeste-Tel[p 21],28 Oct 2011,1100,?,32.3120/121,46.1186/188,6.88/9,3.312/13,1.35,2.82,0.92,1.23,0.93,–,–,?1/2,–,w.PP,?4/5,?1,–,w.CC,–,13.8
26,Metroscopia/El País[p 37],27 Oct 2011,1500,70,30.3,45.3,6.0,–,–,4.2,–,–,–,–,–,–,–,w.PP,–,–,–,w.CC,–,15.0
27,Sigma Dos/El Mundo[p 38][p 39],27 Oct 2011,7400,?,31.0119,47.4191,5.36,3.513,1.15,3.13,0.92,?2,?3,–,–,?1,–,w.PP,?4,?1,–,w.CC,–,16.4
28,Sigma Dos/El Mundo[p 40][p 41],24 Oct 2011,3000,?,31.3121,47.5191,5.36,3.313,1.15,3.13,0.81,?2,?2,–,–,?1,–,w.PP,?4,?1,–,w.CC,–,16.2
29,CIS[p 42][p 43],23 Oct 2011,17236,?,29.9116/121,46.6190/195,6.28,3.313,1.23,2.93,1.23,0.82,0.62,–,–,0.41,–,w.PP,1.13,0.31,–,w.CC,–,16.7
30,NC Report/La Razón[p 44],22 Oct 2011,1000,68.6,31.2116/118,46.2186/189,7.210/11,3.113,1.04,2.82/3,0.71,1.23,0.93,?0/1,–,?1,–,w.PP,?5/6,?1,–,w.CC,–,15.0
31,Invymark/laSexta[p 26],21 Oct 2011,?,?,35.1,45.4,4.2,–,–,–,–,–,–,–,–,–,–,w.PP,–,–,–,w.CC,–,10.3
32,Obradoiro de Socioloxía/Público[p 45],20 Oct 2011,1800,?,33.1,44.7,6.7,2.7,1.4,2.6,1.2,0.8,–,–,–,–,–,w.PP,1.3,–,–,w.CC,1.0,11.6
33,Sigma Dos/El Mundo[p 46][p 47],20 Oct 2011,3000,73.3,30.7119,47.8194,5.46,3.413,1.16,3.23,0.92,?2,?2,–,–,?1,–,w.PP,?2,–,–,w.CC,–,17.1
34,Sigma Dos/El Mundo[p 48],17 Oct 2011,3300,?,30.7118,47.9195,5.46,3.413,1.26,2.93,1.02,?2,?2,–,–,–,–,w.PP,?3,–,–,w.CC,–,17.2
35,Intercampo/GETS[p 49][p 50],17 Oct 2011,1724,Medium,32.2,46.3,4.9,2.8,1.0,4.4,1.1,–,–,–,–,–,–,w.PP,–,–,–,w.CC,2.1,14.1
38,NC Report/La Razón[p 51],14 Oct 2011,?,68.3,30.9115/117,46.4187/190,7.010/11,3.313/14,1.24/5,2.92/3,0.71/2,1.22/3,0.93/4,?0/1,–,?0/1,–,w.PP,?4/5,?1/2,–,w.CC,–,15.5
39,Sigma Dos/El Mundo[p 52][p 53],13 Oct 2011,900,?,30.8117,48.0196,5.36,3.413,1.26,3.03,1.02,?2,?2,–,–,–,–,w.PP,?3,–,–,w.CC,–,17.2
40,Metroscopia/El País[p 54][p 55][p 56],13 Oct 2011,1500,70,29.7115/120,45.5185/190,7.6?,–,–,4.5?,–,–,–,–,–,–,–,w.PP,–,–,–,w.CC,–,15.8
41,Simple Lógica[p 15],10 Oct 2011,?,?,31.8,46.7,5.1,2.8,1.3,4.0,–,–,–,–,–,–,–,w.PP,–,–,–,w.CC,–,14.9
42,Sigma Dos/El Mundo[p 57][p 58],10 Oct 2011,3600,?,31.4121,47.6193,5.26,3.313,1.36,3.03,1.02,?2,?2,–,–,–,–,w.PP,?2,–,–,w.CC,–,16.2
43,Celeste-Tel/Terra[p 59][p 60],8 Oct 2011,1357,69.1,32.7120/122,45.5185/187,6.89/10,3.312/13,1.45/6,3.02,0.81,1.33,0.93,–,–,–,–,w.PP,1.34,–,–,w.CC,–,12.8
44,Invymark/laSexta[p 61],7 Oct 2011,?,?,35.1,46.1,4.6,3.4,–,–,–,–,–,–,–,–,–,w.PP,–,–,–,w.CC,–,11.0
45,Sigma Dos/El Mundo[p 62][p 63],6 Oct 2011,3000,?,31.6122,47.8193,5.26,3.212,1.25,2.93,1.02,?2,?2,–,–,–,–,w.PP,?3,–,–,w.CC,–,16.2
46,NC Report/La Razón[p 64][p 65][p 66],6 Oct 2011,6100,?,30.6113/115,45.9183/185,7.211/12,3.614/15,1.14/5,2.92/3,0.81/2,1.12/3,0.93/4,?0/1,–,?0/1,–,w.PP,?5,?1/2,?0/1,w.CC,?0/1,15.3
47,Noxa/La Vanguardia[p 67],4 Oct 2011,1272,?,32.9115/122,45.9186/192,4.74,3.211/12,0.95/7,3.62/4,0.51/2,–,–,–,–,–,–,w.PP,0.84,–,–,w.CC,–,13.0
48,CEMOP[p 68][p 69],4 Oct 2011,800,76,32.4,46.8,6.3,3.6,1.4,3.1,1.3,–,–,–,–,–,–,w.PP,–,–,–,w.CC,–,14.4
49,Sigma Dos/El Mundo[p 70],30 Sep 2011,2000,?,31.8,47.4,5.0,3.2,1.2,3.1,0.9,–,–,–,–,–,–,w.PP,–,–,–,w.CC,–,15.6
50,Celeste-Tel[p 59],30 Sep 2011,1100,?,32.1120,45.1183,7.011,3.513,1.25,2.92,0.81,1.33,1.02,–,–,–,–,w.PP,–,–,–,w.CC,–,13.0
51,PP[p 71][p 72],29 Sep 2011,?,?,?115,?189,?8,?14,?6,?3,?2,?2,?2,–,?1,?1,–,w.PP,?4,?2,?1,w.CC,–,?
52,NC Report/La Razón[p 73],28 Sep 2011,1000,70.0,30.6116/118,46.1183/185,6.810/12,3.613/15,1.15/6,3.02/3,0.81/2,1.02/3,0.93/4,?0/1,–,?0/1,–,w.PP,?5/6,?1/2,?0/1,w.CC,?0/1,15.5
53,Celeste-Tel[p 59],23 Sep 2011,1100,?,31.3121,44.0179,7.411,3.614,1.14,2.93,0.81,1.43,1.02,–,–,–,–,w.PP,–,–,–,w.CC,–,12.7
54,Invymark/laSexta[p 61],23 Sep 2011,?,?,35.3,45.9,4.5,3.4,–,–,–,–,–,–,–,–,–,w.PP,–,–,–,w.CC,–,10.6
55,GESOP/El Periódico[p 74][p 75][p 76],22 Sep 2011,1000,?,31.4121/125,46.1185/189,4.74/6,3.714/15,1.04/5,5.04/6,1.01/2,–,–,–,–,–,–,w.PP,–,–,–,w.CC,–,14.7
56,Celeste-Tel[p 77],16 Sep 2011,1100,?,31.5128,44.2176,6.99,3.814,1.25,2.93,0.71,1.23,1.02,–,–,–,–,–,–,–,–,w.CC,–,12.7
57,Invymark/laSexta[p 78],9 Sep 2011,?,?,35.5,45.8,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,w.CC,–,10.3
58,Opinión 2000/Cadena SER[p 79][p 80],8 Sep 2011,1000,?,32.0,45.0,6.5,4.0,1.5,2.0,1.5,–,–,–,–,–,–,–,–,–,–,w.CC,–,13.0
59,Metroscopia/El País[p 81][p 82],8 Sep 2011,1002,70,30.7,44.8,6.2,3.3,–,4.4,–,–,–,–,–,–,–,–,–,–,–,w.CC,–,14.1
60,Simple Lógica[p 15],8 Sep 2011,1022,?,32.9,46.7,5.2,2.5,0.9,3.8,–,–,–,–,–,–,–,–,–,–,–,w.CC,–,13.8
61,GAD3/COPE[p 83][p 84],6 Sep 2011,504,?,31.1128,45.1179,6.18,3.413,1.16,3.94,0.71,0.82,0.32,–,0.10,–,–,0.21,–,–,–,w.CC,–,14.0
62,Sigma Dos/El Mundo[p 85],1 Sep 2011,1000,?,32.3,47.1,5.0,3.2,1.2,3.5,0.6,–,–,–,–,–,–,–,–,–,–,–,–,14.8
63,NC Report/La Razón[p 86],28 Aug 2011,?,69.5,30.8117/119,46.5182/185,6.26/7,3.814/16,1.25/6,3.23/4,0.71/2,1.02/3,0.61/2,–,0.20/1,?1/2,–,?2,?4,?1/2,–,?0/1,?2,15.7
64,Simple Lógica[p 15],10 Aug 2011,1014,?,31.5,44.8,4.3,3.0,1.0,4.8,–,–,–,–,–,–,–,–,–,–,–,–,–,13.3
65,DYM/ABC[p 87],3 Aug 2011,1076,?,35.0,47.6,4.7,3.5,1.3,1.8,0.5,–,–,–,–,–,–,–,2.0,–,–,–,–,12.6
66,NC Report/La Razón[p 88],30 Jul 2011,1000,69.3,30.9118/121,46.9183/186,6.67/8,3.812/14,1.25/6,3.24,0.92,1.03,0.61,–,0.20/1,–,–,?2,?4,?1/2,?1,?0/1,–,16.0
67,Metroscopia/El País[p 89][p 90],28 Jul 2011,1203,70,30.8,44.8,6.6,–,–,3.8,–,–,–,–,–,–,–,–,–,–,–,–,–,14.0
68,Simple Lógica[p 15],12 Jul 2011,?,?,30.8,46.3,5.1,2.3,0.8,4.3,–,–,–,–,–,–,–,–,–,–,–,–,–,15.5
69,CIS[p 91][p 92],11 Jul 2011,2475,?,36.0,43.1,5.1,3.1,1.0,3.0,1.1,0.5,0.5,–,0.2,–,–,0.1,–,–,–,–,–,7.1
70,Ipsos[p 93],8 Jul 2011,?,?,36.0,44.2,4.4,2.8,1.4,2.4,0.6,1.1,–,–,–,–,–,–,1.2,–,–,–,–,8.2
71,Celeste-Tel[p 94],7 Jul 2011,1100,?,34.3139,44.2170,5.96,3.914,1.25,3.23,0.61,1.13,1.02,–,0.20,–,–,–,–,–,–,–,–,9.9
72,GAD/COPE[p 95][p 96],5 Jul 2011,504,?,30.9120,46.4187,6.110,3.515,1.16,3.43,0.71,0.82,0.32,–,0.10,–,–,0.21,–,–,–,–,–,15.5
73,Metroscopia/El País[p 97][p 98],30 Jun 2011,1001,70,30.4,44.7,6.4,–,–,3.2,–,–,–,–,–,–,–,–,–,–,–,–,–,14.3
74,NC Report/La Razón[p 99][p 100],30 Jun 2011,1000,68.5,31.0118/122,47.1182/185,7.07/8,3.712/13,1.15,3.34/5,0.82,1.03,0.51,–,0.20/1,–,–,?2,?4,?1/2,?1,?0/1,–,16.1
75,Opinión 2000/Cadena SER[p 101],21 Jun 2011,1000,?,38.0,47.0,3.5,3.0,1.0,1.5,2.0,–,–,–,–,–,–,–,–,–,–,–,–,9.0
76,GAD/COPE[p 102][p 103],7 Jun 2011,501,?,30.7119,46.6189,6.210,3.616,1.37,3.23,0.71,0.82,0.32,–,0.10,–,–,0.21,–,–,–,–,–,15.9
77,Celeste-Tel[p 94],7 Jun 2011,1100,?,32.8135,45.5173,6.56,3.915,1.15,3.13,0.61,1.13,0.91,–,0.20,–,–,–,–,–,–,–,–,12.7
78,Simple Lógica[p 15],6 Jun 2011,1000,?,29.4,46.3,6.4,2.8,1.3,5.3,–,–,–,–,–,–,–,–,–,–,–,–,–,16.9
79,Sigma Dos/El Mundo[p 104][p 105],2 Jun 2011,1000,?,32.1,45.9,5.8,3.5,1.0,3.6,1.1,–,–,–,–,–,–,–,–,–,–,–,–,13.8
80,Metroscopia/El País[p 106][p 107],2 Jun 2011,1001,70,31.0,44.8,6.2,3.2,–,2.5,–,–,–,–,–,–,–,–,–,–,–,–,–,13.8
81,NC Report/La Razón[p 108],2 Jun 2011,1000,68.6,31.5120/123,47.2186/187,6.47/8,3.913/14,1.25/6,3.24/5,0.72,0.93,0.72,–,0.20/1,–,–,–,–,–,–,–,–,15.7
82,GESOP/El Periódico[p 109][p 110][p 111],1 Jun 2011,1000,?,35.3133/137,44.0176/180,5.87/9,3.012/13,1.25/6,4.14/5,0.71,–,–,–,–,–,–,–,–,–,–,–,–,8.7
83,2011 local elections,22 May 2011,,66.2,27.8,37.5,7.4,3.5,1.4,2.1,1.2,1.2,0.9,1.0,0.2,0.8,0.1,0.4,1.4,0.5,0.3,0.2,–,9.7
84,Simple Lógica[p 15],13 May 2011,1016,?,30.6,47.0,6.4,3.3,1.1,3.9,–,–,–,–,–,–,–,–,–,–,–,–,–,16.4
85,Celeste-Tel[p 94],6 May 2011,1100,?,32.0133,46.2173,6.86,4.014,1.35,3.14,0.62,1.23,0.81,–,0.21,–,–,–,–,–,–,–,–,14.2
86,Metroscopia/El País[p 112][p 113],28 Apr 2011,1200,70,31.7,44.3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,12.6
87,Ikerfel/Vocento[p 114][p 115],22 Apr 2011,45635,?,35.5,44.5,6.0,3.9,1.4,2.5,0.9,0.9,0.7,–,–,–,–,–,–,–,–,–,–,9.0
88,NC Report/La Razón[p 116],20 Apr 2011,1000,?,31.8122/125,46.4186/187,6.67/9,3.913/14,1.37,3.43/4,0.61/2,0.82,0.62,–,0.21,–,–,–,–,–,–,–,–,14.6
89,Obradoiro de Socioloxía/Público[p 117],19 Apr 2011,2005,?,37.8,40.1,7.2,3.9,1.3,2.3,0.6,1.1,–,–,–,–,–,–,–,–,–,–,–,2.3
90,TNS Demoscopia/Antena 3[p 118][p 119],12 Apr 2011,3000,72.0,30.5,45.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,15.0
91,Invymark/laSexta[p 120],8 Apr 2011,?,?,32.7,46.3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,13.6
92,CIS[p 121][p 122],8 Apr 2011,2463,?,33.4,43.8,5.2,3.5,1.3,3.5,1.3,0.9,0.5,–,0.4,–,–,0.1,–,–,–,–,–,10.4
93,Opinión 2000/Cadena SER[p 123][p 124],7 Apr 2011,1000,?,35.0,47.0,4.3,3.5,0.7,1.5,2.0,–,–,–,–,–,–,–,–,–,–,–,–,12.0
94,Sigma Dos/El Mundo[p 125],7 Apr 2011,1000,?,37.7,45.2,4.1,3.2,1.1,1.5,0.9,–,–,–,–,–,–,–,–,–,–,–,–,7.5
95,Celeste-Tel[p 94],7 Apr 2011,1100,?,32.3136,46.1172,6.67,4.114,1.26,3.04,0.62,1.03,0.81,–,0.31,–,–,–,–,–,–,–,–,13.8
96,GAD/COPE[p 126][p 127],5 Apr 2011,500,?,33.7128,45.9181,6.19,3.715,1.37,2.93,0.82,0.82,0.21,–,0.21,–,–,0.21,–,–,–,–,–,12.2
97,NC Report/La Razón[p 128],2 Apr 2011,1000,67.6,31.6123/124,46.8185/187,6.68/10,3.913/14,1.37,3.43/4,0.61,0.82,0.61,–,0.21,–,–,–,–,–,–,–,–,15.2
98,Metroscopia/El País[p 129][p 130],31 Mar 2011,1004,70,28.3,44.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,15.8
99,Invymark/laSexta[p 120],25 Mar 2011,?,?,32.5,46.4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,13.9
100,Obradoiro de Socioloxía/Público[p 131],24 Mar 2011,1201,?,30.2,43.5,8.1,3.7,1.7,4.8,0.6,1.3,–,–,–,–,–,–,–,–,–,–,–,13.3
101,TNS Demoscopia/Antena 3[p 132][p 133],22 Mar 2011,1000,71.3,29.6,46.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,16.4
102,Sigma Dos/El Mundo[p 134],9 Mar 2011,1000,?,31.4,47.9,6.2,3.2,1.0,2.4,1.0,–,–,–,–,–,–,–,–,–,–,–,–,16.5
103,GAD/COPE[p 135],9 Mar 2011,502,?,31.1121,46.1185,6.511,3.916,1.37,3.84,0.82,0.82,0.21,–,0.21,–,–,0.00,–,–,–,–,–,15.0
104,Celeste-Tel[p 94],7 Mar 2011,1100,?,32.9138,45.9170,6.58,3.914,1.26,3.24,0.72,1.03,0.71,–,0.31,–,–,–,–,–,–,–,–,13.0
105,Metroscopia/El País[p 136][p 137],3 Mar 2011,1004,70,28.1,44.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,15.9
106,JM&A[p 138],25 Feb 2011,?,68.9,28.9,47.5,6.3,4.4,1.1,4.2,1.0,0.9,0.3,–,0.4,–,–,–,–,–,–,–,–,22.7
107,Obradoiro de Socioloxía/Público[p 139],25 Feb 2011,1982,?,30.7,44.4,7.1,3.8,1.3,4.3,0.9,1.3,–,–,–,–,–,–,–,–,–,–,–,13.7
108,NC Report/La Razón[p 140],23 Feb 2011,1000,68.5,32.9123/125,46.0184/187,6.38/10,3.813/14,1.37,3.33/4,0.61,0.82,0.61,–,0.21,–,–,–,–,–,–,–,–,13.1
109,TNS Demoscopia/Antena 3[p 141][p 142],22 Feb 2011,?,68.5,31.1,45.8,7.1,3.4,1.1,3.5,0.9,0.8,–,–,–,–,–,–,–,–,–,–,–,14.7
110,Invymark/laSexta[p 143],11 Feb 2011,?,?,32.3,46.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,13.8
111,GAD/COPE[p 144][p 145],8 Feb 2011,501,?,32.1125,46.2185,6.39,3.916,1.37,2.72,0.82,?2,?1,–,?1,–,–,–,–,–,–,–,–,14.1
112,Celeste-Tel[p 146],7 Feb 2011,1100,?,34.7141,45.0171,6.46,4.014,1.26,3.34,0.52,1.03,0.71,–,0.31,–,–,–,–,–,–,–,–,10.3
113,Sigma Dos/El Mundo[p 147],3 Feb 2011,1000,?,31.3,47.4,8.1,2.9,1.1,2.2,0.9,–,–,–,–,–,–,–,–,–,–,–,–,16.1
114,Metroscopia/El País[p 148][p 149],3 Feb 2011,1005,70,28.4,43.3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,14.9
115,Opina/Cadena SER[p 150],2 Feb 2011,1000,?,34.0,44.0,5.5,3.0,1.2,2.0,1.1,–,–,–,–,–,–,–,–,–,–,–,–,10.0
116,Invymark/laSexta[p 143],28 Jan 2011,?,?,32.4,46.3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,13.9
117,Obradoiro de Socioloxía/Público[p 151],21 Jan 2011,2082,?,30.9,44.0,7.5,4.8,1.5,2.9,0.5,0.8,–,–,–,–,–,–,–,–,–,–,–,13.1
118,TNS Demoscopia/Antena 3[p 152][p 153],18 Jan 2011,?,67.7,30.2,47.0,7.6,3.3,1.1,2.8,1.0,0.6,–,–,–,–,–,–,–,–,–,–,–,16.8
119,CIS[p 154][p 155],16 Jan 2011,2478,?,34.0,44.1,5.7,3.9,1.2,2.9,0.8,0.9,0.5,–,0.2,–,–,0.1,–,–,–,–,–,10.1
120,Opina/Cadena SER[p 156][p 157],13 Jan 2011,1000,?,34.0,45.0,6.0,3.5,1.0,3.4,1.0,–,–,–,–,–,–,–,–,–,–,–,–,11.0
121,GAD/COPE[p 158][p 159],11 Jan 2011,500,?,31.3120,46.5189,6.29,3.615,1.47,3.73,0.82,0.92,0.42,–,0.21,–,–,0.10,–,–,–,–,–,15.2
122,Celeste-Tel[p 146],10 Jan 2011,1100,?,34.4139,45.2172,6.67,4.014,1.36,3.54,0.62,1.03,0.71,–,0.31,–,–,–,–,–,–,–,–,10.8
123,Metroscopia/El País[p 160][p 161],4 Jan 2011,1023,70,28.6,43.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,14.5
124,NC Report/La Razón[p 162],30 Dec 2010,1000,67.0,30.4121/123,48.0186/189,7.410/12,4.213/14,1.27,3.73/4,0.61,0.92,0.41,–,0.31,–,–,–,–,–,–,–,–,17.6
125,DYM/ABC[p 163][p 164],30 Dec 2010,1058,?,30.8,49.3,7.5,4.1,1.3,1.8,1.1,–,–,–,–,–,–,–,–,–,–,–,–,18.5
126,Sigma Dos/El Mundo[p 165][p 166],28 Dec 2010,1000,?,30.3,48.7,6.4,3.8,1.2,1.5,0.9,–,–,–,–,–,–,–,–,–,–,–,–,18.4
127,GESOP/El Periódico[p 167][p 168],17 Dec 2010,1000,?,31.0120/124,44.5178/182,7.413/15,4.015/16,1.15/6,4.24/5,1.01/2,–,–,–,–,–,–,–,–,–,–,–,–,13.5
128,Invymark/laSexta[p 169],17 Dec 2010,?,?,33.4,45.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,12.1
129,JM&A[p 170],16 Dec 2010,?,65.0,24.3,47.0,8.0,4.0,–,6.0,–,–,–,–,–,–,–,–,–,–,–,–,–,22.7
130,Obradoiro de Socioloxía/Público[p 171],16 Dec 2010,1600,?,30.0,43.2,7.5,4.5,1.6,4.5,0.9,1.0,–,–,–,–,–,–,–,–,–,–,–,13.2
131,TNS Demoscopia/Antena 3[p 172],14 Dec 2010,?,70.3,30.5,46.1,7.4,3.6,1.0,3.3,0.9,0.7,–,–,–,–,–,–,–,–,–,–,–,15.6
132,GAD/COPE[p 173],14 Dec 2010,500,?,31.7123,46.2189,5.98,3.615,1.47,3.12,0.71,0.92,0.42,–,0.21,–,–,0.10,–,–,–,–,–,14.5
133,Celeste-Tel[p 146],9 Dec 2010,1100,?,34.7138,44.8173,6.77,4.114,1.36,3.54,0.62,1.13,0.71,–,0.31,–,–,–,–,–,–,–,–,10.1
134,NC Report/La Razón[p 174],7 Dec 2010,1000,67.6,30.6124/125,47.6186/188,7.610/14,4.314/15,1.27,3.73/4,0.91,0.92,0.41,–,0.31,–,–,–,–,–,–,–,–,17.0
135,Invymark/laSexta[p 169],3 Dec 2010,?,?,33.3,45.6,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,12.3
136,Metroscopia/El País[p 175][p 176],2 Dec 2010,1000,75.3,24.3,43.1,7.6,–,–,4.3,–,–,–,–,–,–,–,–,–,–,–,–,–,18.8
137,NC Report/La Razón[p 177],17 Nov 2010,1000,69.0,32.8128/130,46.3179/182,7.210/11,4.214/15,1.27,3.43/4,0.91/2,0.92,0.41,–,0.21,–,–,–,–,–,–,–,–,13.5
138,JM&A[p 170],16 Nov 2010,?,69.8,32.6,41.3,6.6,3.7,–,5.7,–,–,–,–,–,–,–,–,–,–,–,–,–,8.7
139,TNS Demoscopia/Antena 3[p 178][p 179],16 Nov 2010,?,66.5,32.1,45.1,7.1,3.5,0.9,3.2,1.0,0.8,–,–,–,–,–,–,–,–,–,–,–,13.0
140,Obradoiro de Socioloxía/Público[p 180],11 Nov 2010,2402,?,33.2,41.2,6.5,4.0,1.0,4.5,0.8,1.3,–,–,–,–,–,–,–,–,–,–,–,8.0
141,GAD/COPE[p 181][p 182],10 Nov 2010,503,?,35.1135,44.7180,5.26,3.413,1.37,2.92,0.92,0.92,0.52,–,0.21,–,–,0.10,–,–,–,–,–,9.6
