,firm,date,size,Turnout,PP,PSOE,Podemos,C's,IU–UPeC,ERC–CatSí,DiL,PNV,PACMA,EHB.png,CC,BNG,/wiki/Galician_Nationalist_Bloc,Lead
12,GAD3/ABC[p 11],20 Jun 2016,1900,?,30.7122/125,21.279/82,w.UP,14.136/38,w.UP,?9,?6,?5,–,?2,?0/1,–,24.984/86,5.8
13,GIPEyOP[p 12],20 Jun 2016,10244,?,29.5122,22.085,w.UP,14.535,w.UP,2.79,2.08,1.14,–,0.92,–,0.30,24.585,5.0
14,Redondo & Asociados/Expansión[p 13],19 Jun 2016,?,?,29.4121,21.583,w.UP,15.137,w.UP,?9,?7,?5,–,?2,?1,–,24.985,4.5
15,JM&A/Público[p 14],19 Jun 2016,?,69.0,29.8119,22.185,w.UP,13.934,w.UP,2.49,2.29,1.36,–,0.92,0.31,–,23.985,5.9
16,Infortécnica[p 15][p 16],19 Jun 2016,2071,?,?121/129,?84/88,w.UP,?40/44,w.UP,–,–,–,–,–,–,–,?71/77,?
17,Invymark/laSexta[p 17][p 18],19 Jun 2016,1200,?,30.1,19.9,w.UP,13.8,w.UP,–,–,–,–,–,–,–,26.1,4.0
18,GESOP/El Periódico[p 19],19 Jun 2016,900,70–72,28.3114/118,21.983/87,w.UP,14.938/42,w.UP,–,–,–,–,–,–,–,24.083/87,4.3
19,TNS Demoscopia[p 20],19 Jun 2016,500,70–71,29.6,21.0,w.UP,14.8,w.UP,–,–,–,–,–,–,–,24.7,4.9
20,Encuestamos[p 21],19 Jun 2016,2400,?,30.6125/129,22.084/88,w.UP,13.631/35,w.UP,2.26/9,2.05/8,1.24/7,–,0.81/3,0.20/1,0.20,23.985/89,6.7
21,GESOP/El Periódico[p 22],18 Jun 2016,900,71–73,28.8116/120,21.681/85,w.UP,15.440/44,w.UP,–,–,–,–,–,–,–,23.783/87,5.1
22,GESOP/El Periódico[p 23],17 Jun 2016,900,70–72,28.3114/118,21.280/84,w.UP,15.640/44,w.UP,–,–,–,–,–,–,–,24.284/88,4.1
23,Celeste-Tel/eldiario.es[p 24],17 Jun 2016,1100,66.5,30.5123/128,21.884/86,w.UP,13.332/34,w.UP,2.48,1.76,1.15,0.80,0.82,0.31,0.20,25.383/88,5.2
24,A+M/20minutos[p 25],17 Jun 2016,4000,68.8,28.8118/124,21.779/82,w.UP,16.241/48,w.UP,2.38/9,1.76/7,1.15,–,0.83,0.21,–,24.378/86,4.5
25,Hamalgama–Ágora Integral[p 26],17 Jun 2016,1450,69.7,30.4125/133,21.075/85,w.UP,12.530/38,w.UP,2.17/9,2.06/8,1.36/7,–,0.82,0.31,–,26.272/93,4.2
26,Netquest/El Español[p 27],17 Jun 2016,2000,?,30.4125,20.475,w.UP,15.242,w.UP,–,–,–,–,–,–,–,24.085,6.4
27,NC Report/La Razón[p 28][p 29],17 Jun 2016,2000,64.6,31.1126/131,21.280/83,w.UP,13.233/35,w.UP,2.38/9,1.76/7,1.15/6,–,0.82,0.31,–,25.482/87,5.7
28,Invymark/laSexta[p 30],16 Jun 2016,?,?,29.8,20.4,w.UP,14.1,w.UP,–,–,–,–,–,–,–,25.3,4.5
29,Sigma Dos/El Mundo[p 31],16 Jun 2016,1500,?,30.5124/129,20.073/78,w.UP,14.135/40,w.UP,2.48/9,1.85/6,1.24/6,–,?2,?0/1,–,24.886/92,5.7
30,GESOP/El Periódico[p 32],16 Jun 2016,900,69–71,28.6114/118,20.879/83,w.UP,15.640/44,w.UP,–,–,–,–,–,–,–,24.184/88,4.5
31,GAD3/ABC[p 33],16 Jun 2016,1400,?,30.3121/124,21.480/83,w.UP,14.438/40,w.UP,2.39,1.76,1.25,–,0.82,0.30/1,–,24.684/85,5.7
32,Celeste-Tel/eldiario.es[p 34],16 Jun 2016,1100,66.4,30.3123/128,21.883/86,w.UP,13.432/34,w.UP,2.48,1.76,1.25,0.80,0.82,0.31,0.20,25.182/87,5.2
33,MyWord/Cadena SER[p 35][p 36],16 Jun 2016,1502,?,28.9118/123,20.475/80,w.UP,14.438/39,w.UP,–,–,–,–,–,–,–,24.887/90,4.1
34,DYM/El Confidencial[p 37][p 38],15 Jun 2016,1011,72–73,29.0115/117,21.079/81,w.UP,15.241,w.UP,?9/10,?8,?5/6,–,?2,?1,–,24.984/88,4.1
35,Metroscopia/El País[p 39][p 40][p 41],15 Jun 2016,1800,70,29.0113/116,20.578/85,w.UP,14.537/41,w.UP,–,–,–,–,–,–,–,26.092/95,3.0
36,GESOP/El Periódico[p 42],15 Jun 2016,900,68–70,28.3113/117,20.879/83,w.UP,15.440/44,w.UP,–,–,–,–,–,–,–,24.585/89,3.8
37,Advice Strategic/Europa Press[p 43],15 Jun 2016,2500,?,29.6,20.5,w.UP,14.8,w.UP,–,–,–,–,–,–,–,25.1,4.5
38,Simple Lógica[p 44],15 Jun 2016,1226,70.9,29.2,22.5,w.UP,15.4,w.UP,–,–,–,–,–,–,–,23.5,5.7
39,GESOP/El Periódico[p 45],14 Jun 2016,900,69–71,27.8112/116,21.181/85,w.UP,15.239/43,w.UP,–,–,–,–,–,–,–,24.785/89,3.1
40,Redondo & Asociados/Tiempo[p 46][p 47],14 Jun 2016,1000,?,29.2122,21.180,w.UP,15.338,w.UP,2.29,1.57,1.15,–,0.92,0.31,–,24.686,4.6
41,Celeste-Tel/eldiario.es[p 48],14 Jun 2016,1100,66.3,29.8121/126,22.083/86,w.UP,13.835/36,w.UP,2.48,1.76/7,1.26,1.00,0.82,0.31,0.20,24.980/84,4.9
42,JM&A/Público[p 49],13 Jun 2016,?,69.0,29.2118,21.180,w.UP,15.139,w.UP,2.49,2.29,1.25,–,0.92,0.31,–,24.487,4.8
43,GESOP/El Periódico[p 50],13 Jun 2016,900,70–72,28.0113/117,21.080/84,w.UP,14.938/42,w.UP,–,–,–,–,–,–,–,24.986/90,3.1
44,TNS Demoscopia[p 51],12 Jun 2016,500,69–70,29.0,21.3,w.UP,15.6,w.UP,–,–,–,–,–,–,–,24.5,4.5
45,SYM Consulting/Valencia Plaza[p 52],10 Jun 2016,1816,72.8,29.7122/125,22.979/82,w.UP,13.436/38,w.UP,?7/8,?6/7,?5,–,?3,?0/1,–,24.487/89,5.3
46,NC Report/La Razón[p 3][p 29],10 Jun 2016,1000,?,30.6126/130,21.381/83,w.UP,13.735/37,w.UP,2.38/9,1.76/7,1.15/6,–,0.82,0.31,–,24.881/86,5.8
47,Netquest/El Español[p 53],10 Jun 2016,2000,?,28.8117,21.078,w.UP,15.845,w.UP,–,–,–,–,–,–,–,24.787,4.1
48,GAD3/La Vanguardia[p 54],9 Jun 2016,1016,70,29.8119/122,21.480/82,w.UP,14.940/41,w.UP,2.48/9,1.86/7,1.25,–,0.92,0.30/1,–,24.385/87,5.5
49,Sondaxe/La Voz de Galicia[p 55][p 56],9 Jun 2016,1005,?,29.2121,21.485,w.UP,12.934,w.UP,2.48,1.96,0.93,–,0.93,–,–,26.190,3.1
50,Metroscopia/El País[p 57][p 58][p 59],8 Jun 2016,1200,70,28.9,20.8,w.UP,15.9,w.UP,–,–,–,–,–,–,–,25.4,3.5
51,Invymark/laSexta[p 60],7 Jun 2016,?,?,30.1,20.0,w.UP,14.4,w.UP,2.6,1.7,1.3,–,–,–,–,24.8,5.3
52,GESOP/El Periódico[p 61][p 62],7 Jun 2016,1816,?,27.9113/117,21.280/84,w.UP,15.540/44,w.UP,2.38/9,1.65/6,–,–,–,–,–,24.584/88,3.4
53,Celeste-Tel/eldiario.es[p 63],7 Jun 2016,1100,65.6,29.7122/125,22.183/86,w.UP,14.336/37,w.UP,2.47/8,1.75/6,1.26,1.00,0.92,0.31,0.20,24.479/85,5.3
54,Encuestamos[p 64],5 Jun 2016,2000,?,30.4122/126,21.984/87,w.UP,13.631/34,w.UP,2.37/9,2.05/7,1.34/6,–,0.71/2,0.20/1,0.20,23.687/90,6.8
55,Netquest/El Español[p 65],3 Jun 2016,1000,?,27.7113,21.682,w.UP,15.444,w.UP,–,–,–,–,–,–,–,24.386,3.4
56,NC Report/La Razón[p 66][p 67],3 Jun 2016,2000,63.9,30.5125/130,21.480/83,w.UP,13.937/39,w.UP,2.38/9,1.76,1.15/6,–,0.82,0.31,–,24.580/84,6.0
57,Sigma Dos/El Mundo[p 68],2 Jun 2016,1000,?,31.0130,20.377,w.UP,14.037,w.UP,2.69,2.28,1.36,–,–,–,–,23.780,7.3
58,JM&A/Público[p 69],1 Jun 2016,?,69.5,28.7118,21.783,w.UP,14.838,w.UP,2.38,2.510,1.36,–,0.92,0.41,–,24.184,4.6
59,PSOE[p 70],1 Jun 2016,1000,?,27.9,23.8,w.UP,14.5,w.UP,–,–,–,–,–,–,–,22.4,4.1
60,Metroscopia/El País[p 71][p 72][p 73],1 Jun 2016,1200,68,28.5,20.2,w.UP,16.6,w.UP,–,–,–,–,–,–,–,25.6,2.9
61,CDC[p 74],31 May 2016,?,69,?117,?79,w.UP,?41,w.UP,?8,?9,?5,–,?2,?1,–,?88,?
62,NC Report/La Razón[p 75][p 76],27 May 2016,2000,?,30.5124/130,21.380/82,w.UP,14.238/40,w.UP,2.28,1.65/6,1.15/6,–,0.82,0.31,–,24.779/84,5.8
63,GAD3/ABC[p 77],26 May 2016,1000,70,29.6121,21.686,w.UP,14.840,w.UP,2.49,2.28,1.26,–,0.92,0.31,–,22.577,7.1
64,Advice Strategic/Europa Press[p 78],25 May 2016,2500,?,29.8,20.4,w.UP,14.7,w.UP,–,–,–,–,–,–,–,24.4,5.4
65,MyWord/Cadena SER[p 79][p 80],24 May 2016,1000,?,29.2,20.7,w.UP,14.2,w.UP,–,–,–,–,–,–,–,24.8,4.4
66,CIS[p 81][p 82],22 May 2016,17488,?,29.2118/121,21.278/80,w.UP,14.638/39,w.UP,2.48/9,1.86/7,1.25,–,0.93,0.20,–,25.688/92,3.6
67,Encuestamos[p 83],22 May 2016,2000,?,30.3121/125,22.987/90,w.UP,13.933/36,w.UP,2.47/9,2.26/8,1.14/6,–,0.61/2,0.31/2,0.20,23.284/87,7.1
68,Celeste-Tel/eldiario.es[p 84][p 85],20 May 2016,1100,65.0,29.5120/122,22.084/87,w.UP,14.938/41,w.UP,2.37/8,1.55/6,1.26,1.10,0.92,0.31,0.20,24.278/82,5.3
69,NC Report/La Razón[p 86][p 87],20 May 2016,2500,63.5,30.4125/130,21.180/83,w.UP,14.538/40,w.UP,2.38,1.56,1.16,–,0.82,0.31,–,24.977/82,5.5
70,Metroscopia/El País[p 88][p 89][p 90][p 91],18 May 2016,1200,72,28.4,20.1,w.UP,16.4,w.UP,–,–,–,–,–,–,–,22.9,5.5
73,GIPEyOP[p 92],18 May 2016,2940,?,29.3113/120,21.985/89,w.UP,13.333/36,w.UP,2.59,2.17/8,1.25,–,0.82,0.31,–,24.382/88,5.0
74,Redondo & Asociados/Tiempo[p 93][p 94],17 May 2016,1000,70.1,29.4126,21.282,w.UP,15.138,w.UP,2.29,1.57,1.16,–,0.92,0.31,–,24.379,5.1
75,JM&A/Público[p 95],13 May 2016,?,69.2,27.8112,20.373,w.UP,16.652,w.UP,2.38,2.39,1.35,–,0.92,0.31,–,24.588,3.3
76,Netquest/El Español[p 96],13 May 2016,1000,?,30.8123,19.773,w.UP,14.740,w.UP,–,–,–,–,–,–,–,23.784,7.1
77,Invymark/laSexta[p 97],13 May 2016,?,?,29.6,20.1,w.UP,15.1,w.UP,–,–,–,–,–,–,–,24.2,5.4
78,NC Report/La Razón[p 98][p 99][p 100],12 May 2016,1500,?,30.2125/130,21.080/84,w.UP,14.739/41,w.UP,2.28,1.56,1.16,–,0.92,0.31,–,24.976/81,5.3
79,Simple Lógica[p 101],10 May 2016,1035,71.7,29.9,21.5,14.2,17.7,7.9,–,–,–,–,–,–,–,–,8.4
80,NC Report/La Razón[p 102][p 103],7 May 2016,2000,63.6,30.2126/130,20.880/84,w.UP,15.039/42,w.UP,2.18,1.56,1.26,–,0.82,0.31,–,24.775/80,5.5
81,Celeste-Tel/eldiario.es[p 104],6 May 2016,1100,64.5,29.2120/123,22.485/89,w.UP,15.539/41,w.UP,2.48/9,1.55/6,1.25,1.00,0.92,0.31,0.20,24.275/80,5.0
83,Encuestamos[p 105],2 May 2016,1800,?,30.0115/117,22.887/89,w.UP,14.135/37,w.UP,2.47/8,2.37/8,1.24/5,–,0.61/2,0.30/1,0.30,23.986/88,6.1
85,NC Report/La Razón[p 106][p 107],30 Apr 2016,2000,63.9,30.1126/130,20.780/83,w.UP,15.339/44,w.UP,2.08,1.56,1.36,–,0.82,0.31,–,24.575/82,5.6
87,GAD3/ABC[p 108][p 109],29 Apr 2016,800,68,29.7125,23.294,w.UP,14.039,w.UP,2.28,1.87,1.36,–,0.92,0.41,–,20.968,6.5
89,Invymark/laSexta[p 110][p 111],29 Apr 2016,1200,?,28.7,19.4,20.7,15.4,4.8,–,–,–,–,–,–,–,–,8.0
90,Metroscopia/El País[p 112][p 113][p 114][p 115],28 Apr 2016,1200,70,29.0,20.3,w.UP,16.9,w.UP,–,–,–,–,–,–,–,22.3,6.7
92,NC Report/La Razón[p 116][p 117][p 118],23 Apr 2016,2000,63.9,30.2125/130,20.980/83,w.UP,15.540/45,w.UP,2.38,1.66,1.26,–,0.82,0.31,–,24.174/81,6.1
94,JM&A/Público[p 119],22 Apr 2016,?,68.6,27.8110,20.072,w.UP,16.551,w.UP,2.38,2.39,1.35,–,0.82,0.31,–,25.292,2.6
95,Netquest/El Español[p 120],22 Apr 2016,1000,?,27.3,20.2,18.7,17.0,5.8,–,–,–,–,–,–,–,–,7.1
96,Sigma Dos/El Mundo[p 121],22 Apr 2016,800,?,29.8123,22.990,w.UP,15.244,w.UP,2.69,1.96,1.15,–,–,–,–,21.570,6.9
98,Encuestamos[p 122],20 Apr 2016,2000,?,30.3131/135,23.092/94,19.460/63,14.240/42,4.43/5,2.69/10,2.27/8,1.15/6,–,0.61/2,0.31/2,?0,–,7.3
99,NC Report/La Razón[p 123][p 124][p 125],16 Apr 2016,2400,64.2,30.1126/130,21.083/85,w.UP,15.642/47,w.UP,2.38/9,1.65/6,1.26/7,–,0.72,0.31,–,23.770/76,6.4
101,Invymark/laSexta[p 126][p 127],15 Apr 2016,?,?,28.6,20.4,19.2,15.8,5.4,–,–,–,–,–,–,–,–,8.2
102,TNS Demoscopia[p 128],14 Apr 2016,1000,68–69,29.4,22.3,17.5,15.8,6.0,–,–,–,–,–,–,–,–,7.1
103,NC Report[p 129],14 Apr 2016,955,?,30.7,21.2,21.9,14.5,4.9,–,–,–,–,–,–,–,–,8.8
104,JM&A/Público[p 130],13 Apr 2016,?,66.9,27.9115,19.877,20.969,17.060,3.62,2.49,2.49,1.36,–,0.92,0.41,–,–,7.0
105,Simple Lógica[p 131],12 Apr 2016,1047,73.8,28.3,20.6,16.9,17.7,6.9,–,–,–,–,–,–,–,–,7.7
106,IMOP/Llorente & Cuenca[p 132],10 Apr 2016,1027,69,28.8123,22.290,15.648,16.653,7.512,2.29,1.76,1.16,–,0.72,?1,–,–,6.6
107,Advice Strategic/Europa Press[p 133],10 Apr 2016,2500,?,29.1,21.7,17.4,16.0,5.5,2.3,2.0,1.2,–,–,–,–,–,7.4
108,CIS[p 134][p 135][p 136][p 137],10 Apr 2016,2490,?,27.4115,21.687,w.UP,15.645,w.UP,2.59,1.96,1.04,–,0.72,0.41,–,23.181,4.3
110,NC Report/La Razón[p 138][p 139][p 117],9 Apr 2016,2300,?,30.0,21.4,w.UP,15.8,w.UP,2.4,1.6,1.3,–,0.7,0.3,–,23.1,6.9
112,GAD3/ABC[p 140][p 141],7 Apr 2016,800,68,29.2127,23.395,15.546,14.445,6.711,2.39,2.08,1.16,–,0.83,0.20,–,–,5.9
113,Metroscopia[p 142][p 143],6 Apr 2016,1200,70,29.0,20.1,w.UP,17.7,w.UP,–,–,–,–,–,–,–,20.8,8.2
115,DYM/El Confidencial[p 144],6 Apr 2016,1036,?,29.2,20.7,19.6,15.2,5.9,–,–,–,–,–,–,–,–,8.5
116,Celeste-Tel/eldiario.es[p 145][p 146],5 Apr 2016,1100,64.9,29.1123/125,22.289/90,19.461/66,15.944/47,4.53/5,2.79/10,1.87,1.15/6,1.00,0.72,0.31,0.20,–,6.9
117,Estudio de Sociología Consultores[p 147],5 Apr 2016,2300,?,29.2128,23.792,17.558,16.145,4.62,3.011,1.75,–,–,–,–,–,–,4.5
118,Redondo & Asociados/Tiempo[p 148][p 149][p 150],4 Apr 2016,1000,69.7,29.1125,21.884,w.UP,15.738,w.UP,2.49,1.77,1.36,–,0.72,0.31,–,24.078,5.1
120,NC Report/La Razón[p 151][p 117],2 Apr 2016,1800,?,29.8,22.1,w.UP,15.8,w.UP,2.5,1.7,1.3,–,0.7,0.3,–,22.1,7.7
122,Invymark/laSexta[p 152][p 153],1 Apr 2016,1200,?,28.6,21.6,19.9,15.2,4.1,–,–,–,–,–,–,–,–,7.0
123,Sigma Dos/El Mundo[p 154],31 Mar 2016,800,?,30.2128,22.090,16.749,16.252,4.56,2.38,2.17,1.16,–,–,–,–,–,8.2
124,Metroscopia/El País[p 155][p 156][p 157],30 Mar 2016,1200,73,27.7,21.0,15.9,18.8,6.9,–,–,–,–,–,–,–,–,6.7
125,Netquest/El Español[p 158],30 Mar 2016,1002,?,27.5,19.3,17.3,16.9,7.3,–,–,–,–,–,–,–,–,8.2
126,NC Report/La Razón[p 159][p 160][p 161],27 Mar 2016,900,?,29.8,22.4,w.UP,15.5,w.UP,2.5,1.8,1.3,–,0.7,0.3,–,22.3,7.4
128,Encuestamos[p 162],20 Mar 2016,2000,?,30.1128/131,23.293/95,19.661/64,14.240/42,4.12/4,2.69/10,2.27/8,1.26/7,–,0.61/2,0.31/2,–,–,6.9
129,NC Report/La Razón[p 163][p 164],17 Mar 2016,1000,64.7,29.3124/128,22.187/90,19.562/66,15.144/48,4.42/4,2.39,1.87,1.26,–,0.82,0.41,–,–,7.2
130,MyWord/Cadena SER[p 165][p 166],14 Mar 2016,1004,?,27.0,20.9,15.9,18.0,7.1,–,–,–,–,–,–,–,–,6.1
131,Invymark/laSexta[p 167],11 Mar 2016,?,?,28.5,20.8,21.5,14.3,4.3,–,–,–,–,–,–,–,–,7.0
132,NC Report/La Razón[p 168][p 169],11 Mar 2016,2300,?,29.3126/128,22.087/90,19.863/67,15.142/47,4.42/4,2.49,1.87,1.26,–,0.82,0.31,–,–,7.3
133,GAD3/ABC[p 170][p 171],10 Mar 2016,800,67,28.2123,24.298,18.760,14.142,3.21,2.910,1.87,1.26,–,0.72,0.31,–,–,4.0
134,Metroscopia/El País[p 172][p 173][p 174],9 Mar 2016,1200,75,26.0,23.1,16.8,19.5,5.4,–,–,–,–,–,–,–,–,2.9
135,Sondaxe/La Voz de Galicia[p 175][p 176],9 Mar 2016,1002,?,28.6124,22.089,19.160,15.648,4.24,2.58,2.18,1.26,–,0.82,0.31,–,–,6.6
136,Simple Lógica[p 177],9 Mar 2016,1206,72.5,26.2,21.6,18.3,17.1,7.9,–,–,–,–,–,–,–,–,4.6
137,GESOP/El Periódico[p 178][p 179],8 Mar 2016,1000,?,26.4107/110,21.988/91,18.158/61,17.859/62,5.97/9,2.49/10,1.56/7,–,–,–,–,–,–,4.5
138,Celeste-Tel/eldiario.es[p 180][p 181],5 Mar 2016,1100,66.1,28.6120/124,22.691/94,19.663/67,15.742/45,4.63/5,2.59,1.97,1.15,1.00,0.82,0.31,0.20,–,6.0
139,NC Report/La Razón[p 182][p 183],4 Mar 2016,1400,65.0,29.2125/128,21.887/90,20.264/67,14.942/46,4.22/4,2.49,1.97/8,1.26,–,0.82,0.41,–,–,7.4
140,JM&A/Público[p 184],3 Mar 2016,?,67.3,26.5112,20.278,20.969,16.961,3.31,2.69,2.49,1.36,–,1.04,0.41,–,–,5.6
141,Invymark/laSexta[p 185][p 186],26 Feb 2016,1200,?,26.8,20.3,22.1,15.8,4.5,–,–,–,–,–,–,–,–,4.7
142,DYM/El Confidencial[p 187],23 Feb 2016,1071,?,25.6,22.1,19.8,17.6,5.4,–,–,–,–,–,–,–,–,3.5
143,Invymark/laSexta[p 188],19 Feb 2016,?,?,26.4,21.8,20.7,16.2,4.2,–,–,–,–,–,–,–,–,4.6
144,Sigma Dos/El Mundo[p 189][p 190],18 Feb 2016,1000,?,27.8119,23.193,18.860,15.350,4.03,2.49,2.17,1.16,–,–,–,–,–,4.7
145,NC Report/La Razón[p 191][p 192],18 Feb 2016,1400,65.3,28.9125/127,21.487/89,21.168/72,14.241/42,3.41/2,2.59,2.07/8,1.26,–,0.82,0.31,–,–,7.5
146,Encuestamos[p 193],17 Feb 2016,1800,?,27.7117/119,24.298/100,20.566/68,13.938/40,3.41/2,2.59/10,2.17/8,1.16,–,0.92/3,0.31/2,–,–,3.5
147,GIPEyOP[p 194],16 Feb 2016,1960,?,27.1,22.3,22.3,14.9,3.2,2.4,2.4,1.2,–,0.7,–,–,–,4.8
148,GAD3/ABC[p 195][p 196],11 Feb 2016,800,68,27.9119,20.884,21.475,14.944,3.31,2.610,1.98,1.46,–,0.72,0.31,–,–,6.5
149,Estudio de Sociología Consultores[p 197],10 Feb 2016,2100,?,29.0125,22.694,20.969,14.033,4.02,3.49,1.88,1.16,–,–,–,–,–,6.4
150,JM&A/Público[p 198],7 Feb 2016,?,70.5,27.8118,20.484,21.275,14.944,3.82,2.69,2.39,1.26,–,0.92,0.31,–,–,6.6
151,Simple Lógica[p 199],5 Feb 2016,1048,75.6,26.9,21.7,20.3,18.9,5.1,–,–,–,–,–,–,–,–,5.2
152,Celeste-Tel/eldiario.es[p 200][p 201],5 Feb 2016,1100,66.6,28.5120/124,22.489/92,20.465/69,15.141/46,3.72,2.79/10,2.07/8,1.25/6,1.00,0.82,0.41,0.30,–,6.1
153,Invymark/laSexta[p 202],5 Feb 2016,?,?,27.8,21.1,21.6,15.1,3.8,–,–,–,–,–,–,–,–,6.2
154,Metroscopia/El País[p 203][p 204][p 205],4 Feb 2016,1000,73,24.0,23.3,19.9,18.5,4.3,–,–,–,–,–,–,–,–,0.7
155,Redondo & Asociados/Tiempo[p 206][p 207],25 Jan 2016,13000,?,29.8131,19.474,w.UP,10.318,w.UP,?9,?8,?6,–,?2,?1,–,25.6101,4.2
156,GAD3/ABC[p 208][p 209],21 Jan 2016,802,70,30.1131,21.389,20.065,13.438,2.91,2.49,2.18,1.15,–,1.13,0.31,–,–,8.8
157,NC Report/La Razón[p 210][p 211],21 Jan 2016,1900,65.6,30.7130/132,21.186/88,21.970/73,12.030/33,3.41/2,2.49,2.27/8,1.26,–,0.82,0.31,–,–,8.8
158,MyWord/Cadena SER[p 212][p 213],19 Jan 2016,1000,?,28.0,21.3,20.3,14.4,4.7,–,–,–,–,–,–,–,–,6.7
159,Redondo & Asociados[p 214],16 Jan 2016,?,?,30.5130,20.779,22.882,10.931,–,–,–,–,–,–,–,–,–,7.7
160,Invymark/laSexta[p 215],15 Jan 2016,?,?,30.8,20.8,21.6,12.6,3.5,–,–,–,–,–,–,–,–,9.2
161,Celeste-Tel/eldiario.es[p 216][p 217],15 Jan 2016,1100,67.5,30.2128/130,21.987/90,22.168/73,12.633/35,3.32,2.59,2.17/8,1.15/6,1.00,0.92,0.31,0.30,–,8.1
162,NC Report[p 129],15 Jan 2016,955,?,30.5,22.1,20.7,13.4,3.6,–,–,–,–,–,–,–,–,8.4
163,Encuestamos[p 218],15 Jan 2016,1800,?,33.2140/145,22.290/92,21.474/76,10.917/21,2.91,2.510/11,2.05/7,1.15/6,–,0.82,0.31,–,–,11.0
164,Metroscopia/El País[p 219][p 220][p 221],14 Jan 2016,1200,76.4,29.0,21.1,22.5,16.6,3.2,–,–,–,–,–,–,–,–,6.5
165,Estudio de Sociología Consultores[p 222],14 Jan 2016,2200,?,32.4137,22.490,20.565,13.230,3.92,–,–,–,–,–,–,–,–,10.0
166,Simple Lógica[p 223],12 Jan 2016,1050,77.1,30.0,20.4,21.3,14.7,4.8,–,–,–,–,–,–,–,–,8.7
167,IMOP/Llorente & Cuenca[p 224],11 Jan 2016,1000,69,31.4128,23.593,w.UP,11.826,w.UP,2.39,1.87,1.26,–,0.92,?1,–,22.978,7.9
169,CIS[p 225][p 226][p 227],11 Jan 2016,2496,?,28.8123,20.583,21.979,13.339,3.72,2.811,1.77,1.36,–,1.02,0.00,–,–,6.9
170,2015 general election,20 Dec 2015,,69.7,28.7123,22.090,20.769,13.940,3.72,2.49,2.28,1.26,0.90,0.92,0.31,0.30,–,6.7
