,firm,date,size,turnout,PP,PSOE,IU,UPyD,CiU,Amaiur logo.svg,PNV,ERC,eQuo,/wiki/Galician_Nationalist_Bloc,CC,Compromís,FAC,PA,PRC,GBai,Més,Anova,CUP,C's,Vox,Podemos,lead
45,Intercampo/GETS[p 432],14 Oct 2013,1726,High,28.3,34.8,12.7,6.8,2.3,–,1.6,2.2,–,–,–,–,–,–,–,–,–,–,–,–,–,–,6.5
47,NC Report/La Razón[p 433][p 434],11 Oct 2013,920,58.8,35.0150/154,26.9106/110,12.226/28,7.813/14,2.812,1.67,1.66,2.28,–,–,–,–,–,–,–,–,–,–,–,–,–,–,8.1
48,GAD3/Antena 3[p 435][p 436],10 Oct 2013,805,?,33.2154,25.8109,13.328,8.616,3.010,1.47,1.46,2.68,–,–,–,–,–,–,–,–,–,–,–,–,–,–,7.4
49,CIS[p 437][p 438][p 439],9 Oct 2013,2485,?,34.0161,26.8111,11.324,7.712,2.912,1.27,1.25,2.59,–,1.1?,0.5?,0.5?,0.0?,–,–,0.0?,–,–,–,–,–,–,7.2
50,Simple Lógica[p 440],7 Oct 2013,1001,51.0,27.5,21.6,12.6,13.8,3.0,–,1.6,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,5.9
51,Celeste-Tel[p 441],5 Oct 2013,1100,53.9,31.5137/143,28.1114/116,13.728/31,8.012/15,2.411,1.68,1.47,2.38,1.61,0.82,0.94,1.23,0.41,0.60,0.21,0.31,0.31,–,0.82,1.33,–,–,3.4
52,Metroscopia/El País[p 442][p 443][p 444],3 Oct 2013,1000,62,34.1,29.0,11.5,9.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,5.1
53,Invymark/laSexta[p 445],27 Sep 2013,?,?,26.0,23.5,14.8,13.2,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2.5
54,NC Report[p 446],20 Sep 2013,955,?,33.8,26.5,12.7,7.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,7.3
55,GAD3/Antena 3[p 447][p 448],13 Sep 2013,935,?,32.4147,27.4118,12.827,9.317,3.111,1.47,1.46,2.17,–,–,–,–,–,–,–,–,–,–,–,–,–,–,5.0
56,Invymark/laSexta[p 449],13 Sep 2013,?,?,26.1,23.6,14.7,13.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2.5
57,Simple Lógica[p 440],9 Sep 2013,?,?,28.1,23.3,14.9,13.3,2.6,–,0.9,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.8
58,Celeste-Tel[p 450],6 Sep 2013,1100,52.3,30.9137/140,27.8114/115,14.228/31,8.313/16,2.611,1.78,1.57,2.38,1.51,0.82,0.94,1.33,0.51/2,0.70,0.21,0.31,0.31,–,0.82,1.23,–,–,3.1
59,Feedback/La Vanguardia[p 451],6 Sep 2013,1500,58.6,37.9153,25.298,12.037,9.625,3.413,1.46,1.25,2.17,–,–,–,–,–,–,–,–,–,–,–,–,–,–,12.7
60,Metroscopia/El País[p 452][p 453][p 454],5 Sep 2013,700,62,30.1,30.5,11.6,9.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.4
61,MyWord/Cadena SER[p 455][p 456],30 Aug 2013,1000,?,28.4,20.9,15.0,14.8,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,7.5
62,Simple Lógica[p 440],10 Aug 2013,1025,?,29.6,22.2,16.5,10.2,1.9,–,1.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,7.4
63,TNS Demoscopia[p 457],31 Jul 2013,1000,57,30.0,25.0,15.0,10.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,5.0
64,Celeste-Tel[p 458],31 Jul 2013,1100,50.8,31.3139/142,27.1114/115,14.028/29,8.213/14,2.611,1.78,1.57,2.28,1.51,0.71/2,0.94,1.33,0.51/2,0.70,0.31,0.31,0.31,–,0.82,1.43,–,–,4.2
65,Metroscopia/El País[p 459][p 460][p 461],25 Jul 2013,1000,65,34.7148,27.5127,11.428,7.712,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,7.2
67,Sigma Dos/El Mundo[p 462],18 Jul 2013,1000,?,30.7,27.8,14.3,8.3,4.2,1.1,1.4,1.6,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2.9
68,CIS[p 463][p 464][p 465],10 Jul 2013,2476,?,32.5150,27.2114,11.526,8.816,3.113,1.47,1.46,2.39,–,0.7?,0.5?,0.9?,0.1?,–,–,0.1?,–,–,–,–,–,–,5.3
69,Simple Lógica[p 440],9 Jul 2013,1012,?,25.8,24.2,14.7,12.3,3.4,–,1.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.6
70,Celeste-Tel[p 466],5 Jul 2013,1100,51.2,31.7138/144,27.0111/116,13.626/28,8.011/14,2.711,1.67,1.67,2.28,1.31,0.71/2,0.94,1.43/4,0.62,0.81,0.31,0.31,0.31,–,0.72,1.43/4,–,–,4.7
71,Invymark/laSexta[p 467],5 Jul 2013,?,?,29.1,24.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.6
72,Metroscopia/El País[p 468][p 469][p 470],4 Jul 2013,1000,52,23.0,21.6,16.6,13.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.4
73,GESOP/El Periódico[p 471][p 472],28 Jun 2013,1000,?,28.1118/122,25.5104/107,15.648/50,12.231/33,3.011/12,–,–,2.17/9,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2.6
74,MyWord/Cadena SER[p 473][p 474],18 Jun 2013,1000,?,30.3,22.0,15.2,17.7,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,8.3
75,Invymark/laSexta[p 475],14 Jun 2013,?,?,28.9,24.4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.5
76,Simple Lógica[p 440],11 Jun 2013,1018,?,31.9,21.2,12.9,10.6,3.7,–,1.3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,10.7
77,Celeste-Tel[p 476],7 Jun 2013,1100,49.9,30.9136/144,26.5110/115,13.826/28,8.413/15,2.912,1.57,1.67,2.17,1.41,0.61,0.94,1.53/4,0.62,0.91,0.31,0.31,0.31,?1,0.72,1.63/4,–,–,4.4
78,Metroscopia/El País[p 477][p 478][p 479],6 Jun 2013,1000,52,24.5,21.5,16.8,13.4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.0
79,Asturbarómetro/El Comercio[p 480],3 Jun 2013,403,?,39.7,25.6,14.3,8.6,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,14.1
80,GAD3/Antena 3[p 481][p 482],30 May 2013,1000,?,34.1155,25.7111,12.526,9.719,3.210,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,8.4
81,NC Report[p 483],23 May 2013,955,?,32.6,25.2,12.5,7.8,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,7.4
82,Metroscopia/El País[p 484][p 485],18 May 2013,14000,55,28.6139,25.190,15.948,10.730,2.910,1.57,1.15,2.79,–,1.05,0.84,0.62,–,–,–,0.21,–,–,–,–,–,–,3.5
83,Sigma Dos/El Mundo[p 486],10 May 2013,1000,?,35.4,25.3,13.4,9.6,4.3,1.0,1.4,1.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,10.1
84,Invymark/laSexta[p 487],10 May 2013,?,?,29.0,24.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.5
85,Simple Lógica[p 440],10 May 2013,987,?,29.2,22.4,14.0,12.6,1.7,–,1.2,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,6.8
86,Metroscopia/El País[p 488][p 489][p 490],9 May 2013,1000,52,22.5,20.2,16.6,13.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2.3
87,MyWord/Cadena SER[p 491][p 492],8 May 2013,1000,?,28.7,24.4,13.3,14.9,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.3
88,Celeste-Tel[p 493],7 May 2013,1100,46.6,30.5134/144,26.7110/116,14.026/29,8.913/16,3.012,1.67,1.57,2.27,1.31,0.51,1.04,1.63/4,0.62,1.01,0.31,0.31,0.31,?1,0.82,1.73/4,–,–,3.8
89,Invymark/laSexta[p 494],12 Apr 2013,?,?,29.2,24.9,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.3
90,Simple Lógica[p 440],8 Apr 2013,1010,?,29.2,21.4,13.6,11.8,2.8,–,1.7,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,7.8
91,CIS[p 495][p 496][p 497],8 Apr 2013,2482,?,34.0155,28.2122,9.920,7.412,3.415,0.94,1.26,2.07,–,0.7?,0.9?,0.5?,0.1?,–,–,0.3?,–,–,–,–,–,–,5.8
92,Celeste-Tel[p 498],5 Apr 2013,1100,44.1,30.4136/145,27.1112/118,13.926/28,8.613/15,3.212,1.67,1.57,2.16,1.31,0.51,1.14,1.73/4,0.61/2,1.11,0.31,0.31,0.31,?1,0.81/2,1.63/4,–,–,3.3
93,Metroscopia/El País[p 499][p 500][p 501],4 Apr 2013,1000,53,24.5,23.0,15.6,13.7,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.5
94,Invymark/laSexta[p 502],22 Mar 2013,?,?,29.1,25.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.1
95,Simple Lógica[p 503],8 Mar 2013,1017,48.3,31.2,21.5,14.2,11.2,2.2,–,1.2,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,9.7
96,Celeste-Tel[p 504],6 Mar 2013,1100,44.3,29.4134/146,27.8114/120,13.825/28,8.613/16,3.413,1.67,1.57,2.05,1.21,0.61,1.14,1.83/4,0.71/2,1.11,0.31,0.31,0.31,?1,0.81,–,–,–,1.6
97,Invymark/laSexta[p 502],1 Mar 2013,?,?,29.0,25.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.0
98,Metroscopia/El País[p 505][p 506][p 507],28 Feb 2013,1000,53,24.3,23.1,15.4,10.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.2
99,Invymark/laSexta[p 508],15 Feb 2013,?,?,29.4,24.8,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.6
100,Sigma Dos/El Mundo[p 509],8 Feb 2013,1000,?,33.5,28.2,12.3,10.0,4.0,1.3,1.3,1.4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,5.3
101,Simple Lógica[p 503],8 Feb 2013,?,?,33.3,24.2,13.0,9.9,3.2,–,1.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,9.1
102,Celeste-Tel[p 510],6 Feb 2013,1100,49.2,29.8136/146,28.6117/121,12.823/25,9.114/17,3.714,1.67,1.67,1.64/5,1.51,0.61,1.03/4,1.83/4,0.71/2,1.21,0.21,0.31,0.21,?1,0.71,–,–,–,1.2
103,Metroscopia/El País[p 511][p 512][p 513],1 Feb 2013,2000,53,23.9,23.5,15.3,13.6,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.4
104,GESOP/El Periódico[p 514][p 515],29 Jan 2013,1000,?,30.2133/135,28.0120/123,12.322/25,11.523/26,3.013/15,–,–,1.76/7,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2.2
105,Invymark/laSexta[p 516],25 Jan 2013,?,?,30.0,24.7,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,5.3
106,NC Report[p 517],21 Jan 2013,955,?,36.5,26.3,11.8,7.7,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,10.2
107,CIS[p 518][p 519][p 520],14 Jan 2013,2483,?,35.0155,30.2125,9.418,6.810,3.615,0.94,1.37,2.07,–,0.8?,0.9?,1.1?,–,–,–,0.3?,–,–,–,–,–,–,4.8
108,Invymark/laSexta[p 521],11 Jan 2013,?,?,30.6,24.8,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,5.8
109,Simple Lógica[p 503],11 Jan 2013,?,?,32.5,25.5,13.2,10.5,3.2,–,1.4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,7.0
110,Metroscopia/El País[p 522][p 523][p 524],10 Jan 2013,1000,61,29.8,23.3,15.6,10.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,6.5
111,Celeste-Tel[p 525],9 Jan 2013,1100,58.9,32.8146/154,28.6113/117,12.021/23,8.210/13,3.814/15,1.57,1.67,1.75/6,1.21,0.71/2,0.93/4,1.63,0.71/2,1.11,0.21,0.31,0.21,?1,–,–,–,–,4.6
112,Sigma Dos/El Mundo[p 526][p 527],28 Dec 2012,1000,?,36.7,30.7,9.8,7.1,4.0,1.3,1.2,1.2,–,–,–,–,–,–,–,–,–,–,–,–,–,–,6.0
113,Invymark/laSexta[p 521],21 Dec 2012,?,?,30.9,24.7,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,6.2
114,Celeste-Tel[p 528],12 Dec 2012,1100,58.4,33.1147/154,28.5112/117,11.821/23,8.511/13,3.614/15,1.57,1.57,1.85/6,?1,0.71/2,0.73/4,1.63,0.82,0.91,0.21,0.31,0.21,?1,–,–,–,–,4.6
115,Simple Lógica[p 503],10 Dec 2012,1009,?,33.6,23.0,13.5,9.9,3.2,–,1.4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,10.6
116,Metroscopia/El País[p 529][p 530][p 531],29 Nov 2012,1000,61,31.3,22.7,13.3,10.2,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,8.6
117,Celeste-Tel[p 532],9 Nov 2012,1100,58.4,33.6148/153,28.3112/115,12.022/25,8.411/13,3.615,1.57,1.77,1.96,?1,0.71/2,0.84,1.43,0.62,0.91,0.21,0.21,0.21,?0/1,–,–,–,–,5.3
118,Invymark/laSexta[p 533],9 Nov 2012,?,?,32.0,26.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,6.0
119,Simple Lógica[p 503],8 Nov 2012,1025,?,34.5,24.3,13.4,10.1,3.8,–,1.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,10.2
120,Metroscopia/El País[p 534][p 535][p 536],7 Nov 2012,1000,61,31.8,22.9,12.9,8.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,8.9
121,MyWord/Cadena SER[p 537][p 538],31 Oct 2012,1000,?,33.0,22.3,9.4,11.9,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,10.7
122,Invymark/laSexta[p 539],26 Oct 2012,?,?,32.9,26.7,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,6.2
123,Intercampo/GETS[p 540],17 Oct 2012,1724,High,29.4,27.3,12.1,8.9,4.4,–,1.7,1.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2.1
125,CIS[p 541][p 542][p 543],14 Oct 2012,2484,?,35.9163,28.6119,9.418,7.311,3.917,1.67,1.46,1.33,–,0.7?,0.4?,0.7?,–,–,–,0.3?,–,–,–,–,–,–,7.3
126,Simple Lógica[p 503],11 Oct 2012,?,?,34.1,24.5,11.6,9.1,3.9,–,1.8,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,9.6
127,Celeste-Tel[p 544],5 Oct 2012,1100,57.4,32.8148/151,28.0112/114,12.724/26,9.012/14,3.816,1.67,1.77,1.55,?1,0.82,0.84,1.43,0.62,0.91,0.21,0.21,0.21,–,–,–,–,–,4.8
128,Metroscopia/El País[p 545][p 546][p 547],4 Oct 2012,1000,60,29.9,23.9,12.6,10.2,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,6.0
129,NC Report[p 517],30 Sep 2012,?,?,38.6,26.7,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,11.9
130,Invymark/laSexta[p 539],21 Sep 2012,?,?,34.1,29.9,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.2
131,Simple Lógica[p 548],13 Sep 2012,1776,52.8,34.7,26.0,10.7,8.6,2.5,–,1.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,8.7
132,MyWord/Cadena SER[p 549][p 550],12 Sep 2012,1100,?,31.1,24.8,11.3,13.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,6.3
133,Celeste-Tel[p 551],7 Sep 2012,1100,59.9,34.0150/153,29.9119/121,10.820/21,8.612/13,4.015,1.67,1.66,1.24,–,0.82,0.83/4,1.73/4,0.61/2,–,–,0.21,–,–,–,–,–,–,4.1
134,Metroscopia/El País[p 552][p 553][p 554],6 Sep 2012,1000,60,30.9,24.1,12.4,9.8,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,6.8
135,Simple Lógica[p 548],10 Aug 2012,2009,?,36.4,24.7,11.0,9.5,3.4,–,0.7,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,11.7
136,NC Report[p 555],31 Jul 2012,955,?,35.9,28.3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,7.6
137,Celeste-Tel[p 556],27 Jul 2012,1100,60.3,34.2152/154,29.5118/121,10.719/20,8.712/13,4.315,1.57,1.76,1.34/5,–,1.12/3,0.62/3,1.93/4,0.61,–,–,0.21,–,–,–,–,–,–,4.7
138,Metroscopia/El País[p 557][p 558][p 559],26 Jul 2012,1000,59,30.0,24.7,12.3,9.9,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,5.3
139,Sigma Dos/El Mundo[p 560],19 Jul 2012,1000,?,35.8,29.6,11.7,7.8,4.1,1.3,1.4,1.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,6.2
140,Simple Lógica[p 548],10 Jul 2012,1006,?,37.2,27.7,10.2,9.3,3.7,–,0.6,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,9.5
141,CIS[p 561][p 562],10 Jul 2012,2484,?,36.6,29.9,8.6,6.6,4.0,1.2,1.5,1.3,–,0.7,0.7,0.8,0.4,–,–,0.1,–,–,–,–,–,–,6.7
