,firm,date,size,lead,PP,PSOE,IU,CiU,PNV,CC,lead,HB,ERC,PA,EA,UV,CHA,lead,lead
61,Opina/La Vanguardia[p 68][p 69],21–23 Jan 1999,1000,?,42.0166/174,37.0133/141,7.512/13,4.415/16,0.83/5,–,–,–,0.8?,–,–,–,–,1.5?,5.0
62,DYM/El Periódico[p 70],11–16 Jan 1999,2513,67.9,42.6,33.9,8.5,4.5,1.1,0.9,1.6,0.8,0.7,–,0.5,0.5,–,0.8,8.7
63,Sigma Dos/El Mundo[p 71],26–27 Dec 1998,?,?,42.9,36.1,7.7,4.5,1.3,–,–,–,–,–,–,–,–,–,6.8
64,Gallup[p 72][p 30][p 16],9–21 Dec 1998,2017,?,40.6,36.4,9.9,4.7,1.4,–,–,–,–,–,–,–,–,–,4.2
65,Metra Seis/Colpisa[p 73][p 74][p 16],9–14 Dec 1998,1200,?,42.0167/174,36.8133/140,8.212/15,4.414/16,1.25,–,–,–,–,–,–,–,–,–,5.2
66,Eco Consulting/ABC[p 75],17–18 Nov 1998,1001,?,40.6,36.5,9.8,4.5,1.7,–,1.0,–,–,–,–,–,–,–,4.1
67,Opina/La Vanguardia[p 76][p 77],13–14 Nov 1998,1000,?,41.5166/173,37.5135/143,6.59,4.815/17,0.85,–,–,–,0.8?,–,–,–,–,1.0?,4.0
68,La Vanguardia[p 78],1 Nov 1998,?,?,41.3171/173,34.7131/133,7.112,4.616,1.46,–,–,0.93,–,–,–,–,–,–,6.6
69,?,40.1172/174,32.8128/131,7.113,4.617,1.46,–,–,0.93,–,–,–,–,–,–,7.3,,,
70,?,42.5169/172,36.7134/136,7.111/12,4.615/16,1.46,–,–,0.92/3,–,–,–,–,–,–,5.8,,,
71,CIS[p 79][p 80][p 81][p 43],26–31 Oct 1998,2490,77.1,40.9165,36.6140,9.1?,4.2?,1.3?,–,–,–,–,–,–,–,–,–,4.3
72,Intercampo/GETS[p 44],23 Sep–8 Oct 1998,?,?,38.3,39.8,8.9,4.8,1.5,–,–,–,–,–,–,–,–,–,1.5
73,Demoscopia/El País[p 82][p 16],4 Oct 1998,?,?,40.9,35.9,10.1,3.9,–,–,–,–,–,–,–,–,–,–,5.0
74,Vox Pública/El Periódico[p 83],28 Sep–3 Oct 1998,1992,66–70,38.1,38.1,10.7,4.2,1.2,–,–,–,0.6,–,–,–,–,w.IU,Tie
75,DECO/PSOE[p 84],16–30 Sep 1998,7470,?,38.6,39.5,8.2,–,–,–,–,–,–,–,–,–,–,–,0.9
76,Metra Seis/Colpisa[p 85][p 16],16–21 Sep 1998,1200,?,41.3163/170,37.3134/142,8.513/16,4.414/16,1.45/7,–,–,–,–,–,–,–,–,–,4.0
77,Gallup[p 30][p 16],9–21 Sep 1998,?,?,37.6,39.4,9.6,4.8,1.4,–,–,–,–,–,–,–,–,–,1.8
78,Sigma Dos/El Mundo[p 86][p 87][p 88],28 Aug–3 Sep 1998,14565,?,40.4164,37.8139,9.118,4.314,1.36,0.73,0.92,0.72,0.50,–,0.51,0.41,–,–,2.6
79,CIS[p 40][p 89][p 90][p 43],9–13 Jul 1998,2486,?,38.4156,37.9147,9.3?,4.5?,1.3?,–,–,–,–,–,–,–,–,–,0.5
80,Demoscopia/El País[p 91][p 16],12 Jul 1998,?,?,37.9,35.8,8.8,4.2,–,–,–,–,–,–,–,–,–,–,2.1
81,Vox Pública/El Periódico[p 92],15–17 Jun 1998,1992,66.3,38.5,37.6,9.3,4.3,1.8,–,–,–,0.6,–,–,–,–,w.IU,0.9
82,Gallup[p 30][p 16],13–25 May 1998,?,?,37.8,40.6,8.6,4.2,1.3,–,–,–,–,–,–,–,–,–,2.8
83,ASEP[c][p 93][p 94],18–22 May 1998,1205,75.0,40.1,36.8,9.3,–,–,–,–,–,–,–,–,–,–,–,3.3
84,Opina/La Vanguardia[p 95][p 77],13 May 1998,1000,?,40.0163/165,38.0142/143,7.010/11,5.017,1.05,–,–,–,0.8?,–,–,–,–,1.0?,2.0
85,Demoscopia/El País[p 96][p 97][p 16],4–6 May 1998,1200,?,36.6,38.2,7.3,4.6,1.3,–,–,–,–,–,–,–,–,–,1.6
86,Sigma Dos/El Mundo[p 98][p 99],4 May 1998,?,?,40.3,38.6,8.4,4.5,1.2,–,–,–,–,–,–,–,–,–,1.7
87,La Vanguardia[p 100],2 May 1998,?,?,38.8152/154,39.4149/150,8.714/15,–,–,–,–,–,–,–,–,–,–,–,0.6
88,Vox Pública/El Periódico[p 101][p 102],27–29 Apr 1998,1200,61–67,36.2,39.4,9.4,3.7,2.2,–,–,–,0.4,–,–,–,–,–,3.2
89,CIS[p 40][p 103][p 104][p 105],25–29 Apr 1998,2498,?,37.1149/151,38.9152/155,9.014/15,4.916,1.35,–,–,–,–,–,–,–,–,–,1.8
90,ASEP[c][p 93][p 94],20–24 Apr 1998,1204,?,36.2,38.9,–,–,–,–,–,–,–,–,–,–,–,–,2.7
91,Metra Seis/Colpisa[p 106][p 16],13–15 Apr 1998,1200,?,41.2163/168,37.5136/142,8.513/16,4.515/16,1.35/6,–,–,–,–,–,–,–,–,–,3.7
92,Gallup[p 30][p 16],11–23 Mar 1998,?,?,38.3,38.3,9.4,4.6,1.2,–,–,–,–,–,–,–,–,–,Tie
93,ASEP[c][p 93][p 94],16–20 Mar 1998,1209,?,38.5,37.3,–,–,–,–,–,–,–,–,–,–,–,–,1.2
94,DECO/PSOE[p 107][p 108],19 Mar 1998,2000,?,38.0,39.0,–,–,–,–,–,–,–,–,–,–,–,–,1.0
95,DECO/PSOE[p 109],23 Feb 1998,2000,?,40.1,38.3,–,–,–,–,–,–,–,–,–,–,–,–,1.8
96,ASEP[c][p 93][p 94],16–20 Feb 1998,1213,?,39.0,36.0,–,–,–,–,–,–,–,–,–,–,–,–,3.0
97,CIS[p 110][p 111][p 112][p 43],23–27 Jan 1998,2496,76.6,40.5164,36.4138,9.3?,4.5?,1.3?,–,–,–,–,–,–,–,–,–,4.1
98,Opina/La Vanguardia[p 113],23–24 Jan 1998,1000,?,41.0,36.0,6.5,4.8,1.0,–,–,–,0.8,–,–,–,–,2.0,5.0
99,ASEP[c][p 93][p 94],19–23 Jan 1998,1209,?,41.0,34.6,–,–,–,–,–,–,–,–,–,–,–,–,6.4
100,Metra Seis/Colpisa[p 114][p 115],12–14 Jan 1998,1200,?,41.8166/172,36.5133/138,8.613/16,4.816/17,1.55/7,–,–,–,–,–,–,–,–,–,5.3
101,Sigma Dos/El Mundo[p 116][p 117],27–28 Dec 1997,?,?,42.1,36.4,8.5,4.4,1.3,–,–,–,–,–,–,–,–,–,5.7
102,Gallup[p 30][p 16],10–22 Dec 1997,?,?,39.8,36.8,8.8,4.7,1.2,–,–,–,–,–,–,–,–,–,3.0
103,ASEP[c][p 93][p 94],9–13 Dec 1997,1204,?,41.2,34.5,–,–,–,–,–,–,–,–,–,–,–,–,6.7
104,Opina/La Vanguardia[p 118],4–5 Dec 1997,1000,?,40.0,37.0,6.5,4.6,0.8,–,–,–,0.8,–,–,–,–,2.0,3.0
105,Demoscopia/El País[p 119][p 16],30 Nov 1997,?,?,40.8,34.7,8.8,3.2,1.3,–,–,–,–,–,–,–,–,–,6.1
106,La Vanguardia[p 120][p 78],23 Nov 1997,?,?,39.6169/171,34.2133/136,7.112,4.616,–,–,–,–,–,–,–,–,–,–,5.4
107,ASEP[c][p 93][p 94],10–15 Nov 1997,1211,?,38.0,37.7,–,–,–,–,–,–,–,–,–,–,–,–,0.3
108,CIS[p 121][p 122][p 123][p 43],24–28 Oct 1997,2496,76.8,39.6163,36.4140,9.0?,4.6?,1.2?,–,–,–,–,–,–,–,–,–,3.2
109,ASEP[c][p 93][p 94],13–18 Oct 1997,1214,?,39.5,36.6,–,–,–,–,–,–,–,–,–,–,–,–,2.9
110,Sigma Dos/El Mundo[p 124],12 Oct 1997,?,?,40.5,37.4,9.1,4.5,1.5,–,–,–,–,–,–,–,–,–,3.1
111,Intercampo/GETS[p 44],24 Sep–9 Oct 1997,?,?,38.9,38.0,8.9,5.4,1.3,–,–,–,–,–,–,–,–,–,0.9
112,DECO/PSOE[p 125],29 Sep–3 Oct 1997,?,?,38.5,37.7,9.3,–,–,–,–,–,–,–,–,–,–,–,0.8
113,Demoscopia/El País[p 16],1 Oct 1997,?,?,41.0,34.7,8.7,3.2,1.2,–,–,–,–,–,–,–,–,–,6.3
114,Gallup[p 30][p 16],10–22 Sep 1997,?,?,39.0,38.6,8.9,5.0,1.2,–,–,–,–,–,–,–,–,–,0.4
115,Opina/La Vanguardia[p 126],19–21 Sep 1997,1000,?,40.0,38.5,8.5,5.2,1.0,–,–,–,0.5,–,–,–,–,–,1.5
116,ASEP[c][p 93][p 94],15–20 Sep 1997,1218,?,40.8,35.8,–,–,–,–,–,–,–,–,–,–,–,–,5.0
117,Metra Seis/Colpisa[p 127][p 128],12–15 Sep 1997,1000,?,41.0163/167,37.2136/140,9.014/17,4.816/17,1.56/7,–,–,–,–,–,–,–,–,–,3.8
118,Sigma Dos/El Mundo[p 129][p 130],16–17 Jul 1997,?,?,40.9,37.0,9.7,4.7,1.5,–,–,–,–,–,–,–,–,–,3.9
119,CIS[p 131][p 132][p 133][p 43],11–15 Jul 1997,2495,78.5,40.3162,38.2142,9.4?,4.3?,1.4?,–,–,–,–,–,–,–,–,–,2.1
120,ASEP[c][p 93][p 94],7–11 Jul 1997,1214,?,39.6,36.4,–,–,–,–,–,–,–,–,–,–,–,–,3.2
121,Demoscopia/El País[p 134][p 16],7–9 Jul 1997,1200,?,38.1,36.4,10.5,4.3,1.3,–,–,–,–,–,–,–,–,–,1.7
122,DECO/PSOE[p 125],6 Jul 1997,?,?,40.5,37.6,–,–,–,–,–,–,–,–,–,–,–,–,2.9
123,Gallup[p 30][p 16],11–23 Jun 1997,?,?,40.1,37.7,10.3,4.5,1.4,–,–,–,–,–,–,–,–,–,2.4
124,Opina/La Vanguardia[p 135],14–16 Jun 1997,1000,?,40.0,38.0,10.5,5.0,1.0,–,–,–,0.5,–,–,–,–,–,2.0
125,ASEP[c][p 93][p 94],9–14 Jun 1997,1220,?,36.6,38.6,–,–,–,–,–,–,–,–,–,–,–,–,2.0
126,Sigma Dos/El Mundo[p 136],12–13 Jun 1997,?,?,39.5,37.4,10.3,4.6,1.4,–,–,–,–,–,–,–,–,–,2.1
127,Vox Pública/El Periódico[p 137],20–22 May 1997,800,?,40.0,35.9,10.9,3.6,1.1,–,–,–,–,–,–,–,–,–,4.1
128,Opina/La Vanguardia[p 138],19–20 May 1997,1000,?,39.5,38.0,10.0,5.1,1.2,–,–,–,0.5,–,–,–,–,–,1.5
129,ASEP[c][p 93][p 94],12–17 May 1997,1221,?,39.2,35.8,–,–,–,–,–,–,–,–,–,–,–,–,3.4
130,CIS[p 139][p 140][p 141][p 43],23–27 Apr 1997,2496,78.3,39.2159,37.4139,10.5?,4.6?,1.2?,–,–,–,–,–,–,–,–,–,1.8
131,Opina/La Vanguardia[p 142],19–20 Apr 1997,1000,?,38.0,39.0,10.5,5.0,1.0,–,–,–,0.5,–,–,–,–,–,1.0
132,Sigma Dos/El Mundo[p 143],17–18 Apr 1997,?,?,38.7,38.1,10.4,4.4,1.3,–,–,–,–,–,–,–,–,–,0.6
133,Gallup[p 30][p 16],12–24 Mar 1997,?,?,37.5,39.6,10.6,4.9,1.1,–,–,–,–,–,–,–,–,–,2.1
134,Opina/La Vanguardia[p 144],7–8 Mar 1997,1000,?,38.0,38.5,10.0,5.0,1.0,–,–,–,0.5,–,–,–,–,–,0.5
135,Sigma Dos/El Mundo[p 145],9 Feb 1997,?,?,39.6,37.0,10.8,4.2,1.2,–,–,–,–,–,–,–,–,–,2.6
136,Opina/La Vanguardia[p 146],3–4 Feb 1997,1000,?,38.4,37.4,10.0,5.0,1.0,–,–,–,1.0,–,–,–,–,–,1.0
137,CIS[p 147][p 148][p 149][p 43],23–27 Jan 1997,2488,76.6,38.7156,38.2145,10.0?,4.5?,1.4?,–,–,–,–,–,–,–,–,–,0.5
138,ASEP[c][p 150][p 94],13–18 Jan 1997,1212,73.4,38.0,37.6,10.4,–,–,–,–,–,–,–,–,–,–,–,0.4
139,Sigma Dos/El Mundo[p 151],24 Dec–2 Jan 1997,1000,?,38.2,39.1,10.4,4.3,1.3,–,–,–,–,–,–,–,–,–,0.9
140,Gallup[p 152][p 153][p 30][p 16],11–26 Dec 1996,?,?,35.9,39.9,11.9,4.2,1.6,–,–,–,–,–,–,–,–,–,4.0
141,DECO/PSOE[p 154][p 153],25–29 Nov 1996,1500,?,35.4,40.0,10.5,5.0,–,–,–,–,–,–,–,–,–,–,4.6
142,CIS[p 155][p 156][p 157][p 43],26–31 Oct 1996,2498,77.4,36.3143,39.9154,10.5?,5.1?,1.3?,–,–,–,–,–,–,–,–,–,3.6
143,Sigma Dos/El Mundo[p 158][p 151][p 153],24–25 Oct 1996,1000,?,37.1,38.4,11.4,4.8,1.3,–,–,–,–,–,–,–,–,–,1.3
144,DECO/PSOE[p 159][p 154],22 Oct 1996,1400,?,36.1,38.7,11.4,5.0,–,–,–,–,–,–,–,–,–,–,2.6
145,ASEP[c][p 150][p 94],7–12 Oct 1996,1212,79.1,34.4,38.8,11.5,–,–,–,–,–,–,–,–,–,–,–,4.4
146,Intercampo/GETS[p 44],25 Sep–10 Oct 1996,?,?,32.7,36.5,11.7,4.9,2.2,–,–,–,–,–,–,–,–,–,3.8
147,Opina/La Vanguardia[p 160][p 161][p 69],30 Sep–2 Oct 1996,1066,?,37.2149/150,39.1150/151,10.319/20,4.816,1.45,–,–,–,0.51,–,–,–,–,–,1.9
148,Sigma Dos/El Mundo[p 162][p 151],11 Aug 1996,?,?,38.8,36.8,11.3,4.3,1.4,–,–,–,–,–,–,–,–,–,2.0
149,CIS[p 163][p 164],17–21 Jul 1996,2496,79.2,38.8,37.3,11.2,4.6,1.4,–,–,–,–,–,–,–,–,–,1.5
150,CIS[p 165][p 166][p 167],29 May–2 Jun 1996,2496,80.4,38.6,37.3,11.3,4.9,1.4,–,–,–,–,–,–,–,–,–,1.3
151,Demoscopia/El País[p 168][p 16],12 May 1996,?,?,38.9,37.5,10.6,4.6,1.3,–,–,–,–,–,–,–,–,–,1.4
152,1996 general election,3 Mar 1996,,77.4,38.8156,37.6141,10.521,4.616,1.35,0.94,0.92,0.72,0.71,0.50,0.51,0.41,0.20,–,1.2
153,^ a b c d Unweighted data. ^ PSOE–IU alliance hypothesis. ^ a b c d e f g h i j k l m n Undecided and/or abstentionists excluded.,,,,,,,,,,,,,,,,,,
