,firm,date,size,lead,PP,PSOE,IU,CiU,PNV,lead,CC,PA,ERC,ICV,EA,CHA,lead,Aralar,NaBai,lead
21,Opina/Cadena SER[p 36][p 37][p 38],2 Mar 2004,?,?,41.0,36.5,6.5,3.2,1.7,–,–,–,–,w.IU,–,–,–,–,–,4.5
22,Sigma Dos/El Mundo[p 39][p 40],24 Feb–2 Mar 2004,12500,?,42.8172/177,36.6134/139,5.77/10,3.311,1.87,1.23,–,–,1.95,w.IU,–,–,–,–,–,6.2
23,Opina/Cadena SER[p 41][p 42][p 43],1 Mar 2004,?,?,40.5,36.5,6.5,3.2,1.7,–,–,–,–,w.IU,–,–,–,–,–,4.0
24,Opina/El País[p 44][p 45][p 46],27 Feb–1 Mar 2004,4000,?,42.0168/172,38.0134/141,6.311,3.010/11,1.77/8,0.93,0.93/4,–,1.97,w.IU,–,–,–,–,–,4.0
25,Opina/Cadena SER[p 47][p 48][p 49],29 Feb 2004,?,?,40.5164/169,36.5138/144,7.012,3.510/11,1.57/8,1.02/3,1.03/4,–,1.56,w.IU,–,–,–,–,–,4.0
26,Ipsos–Eco/Prensa Ibérica[p 50][p 34][p 51],29 Feb 2004,?,?,41.3170/174,37.4131/135,6.5?,3.4?,1.4?,–,–,–,–,w.IU,–,–,–,–,–,3.9
27,Citigate Sanchís/La Gaceta[p 33][p 34],29 Feb 2004,?,?,44.4,36.8,5.6,3.2,2.1,–,–,–,–,w.IU,–,–,–,–,–,7.6
28,Opina/Cadena SER[p 52][p 53],28 Feb 2004,?,?,41.0,36.5,6.5,3.8,1.6,–,–,–,–,w.IU,–,–,–,–,–,4.5
29,Opina/Cadena SER[p 54][p 55][p 56],27 Feb 2004,?,?,41.5166/172,36.5136/144,6.410/12,3.810/12,1.66/8,–,–,–,–,w.IU,–,–,–,–,–,5.0
30,Atento STC/Expansión[p 57][p 58],23–27 Feb 2004,?,?,40.4,37.5,5.0,–,–,–,–,–,–,w.IU,–,–,–,–,–,2.9
31,Opina/Cadena SER[p 59][p 60][p 61][p 51],26 Feb 2004,3000,?,41.5166/172,36.5136/144,6.010/12,4.010/12,1.56/8,–,–,–,–,w.IU,–,–,–,–,–,5.0
32,Infortécnica[p 62],26 Feb 2004,4656,?,?165/175,?130/138,?13/17,?9/12,?7/8,?2/4,?4/6,?1/2,?4/6,w.IU,?0/1,–,–,–,–,?
33,Sigma Dos/Antena 3[p 1],25 Feb 2004,?,?,43.3,35.8,5.8,3.6,1.4,–,–,–,–,–,–,–,–,–,–,7.5
34,Celeste-Tel/La Razón[p 63][p 34][p 64],17–25 Feb 2004,?,?,42.2170/171,36.1141/142,5.46/7,3.911/13,1.88,?3,?4,?1,?2/3,?1,?1,?1,–,–,–,6.1
35,TNS Demoscopia/Vocento[p 65][p 66],10–25 Feb 2004,12760,68–70,42.2174/177,37.2133/137,7.08/10,3.110/11,1.57,1.02,0.93,0.50,2.16/7,w.IU,0.31,0.41,–,–,–,5.0
36,Gallup[p 67],2–20 Feb 2004,2036,69.1,43.9,35.1,6.1,3.2,1.5,–,–,–,–,–,–,–,–,–,–,8.8
37,Metra Seis/Colpisa[p 68][p 69],6–16 Feb 2004,5200,70–72,42.0170/176,36.2131/136,5.87/9,3.411/12,1.97/9,1.22/3,0.94/5,0.70/1,2.15/7,0.41,0.20,0.20/1,–,–,–,5.8
38,CIS[p 70][p 71],24 Jan–15 Feb 2004,24109,75.1,42.2176,35.5131,6.610,3.712,1.87,1.23,1.03,–,1.96,w.IU,0.51,0.31,–,–,–,6.7
39,Noxa/La Vanguardia[p 72],6–12 Feb 2004,1800,?,42.6164/169,38.6138/142,5.89/10,2.89,2.28/9,?4/5,0.94,–,2.06/7,w.IU,w.PNV,?1,–,–,–,4.0
40,Opina/Cadena SER[p 73][p 74],11 Feb 2004,1000,?,41.0,38.0,5.0,5.0,2.0,–,–,–,–,–,–,–,–,–,–,3.0
41,Sigma Dos/Antena 3[p 75][p 76][p 1],9–10 Feb 2004,1000,?,43.5,35.4,5.2,3.8,1.6,–,–,–,–,–,–,–,–,–,–,8.1
42,Celeste-Tel/La Razón[p 77][p 34][p 64][p 51],8 Feb 2004,?,?,43.9175,35.8136/137,5.45/6,3.912/13,1.88,–,?4,–,?3,–,–,–,–,–,–,8.1
43,Sigma Dos/El Mundo[p 78][p 1],8 Feb 2004,?,?,44.3,34.8,5.6,3.6,1.5,–,–,–,–,–,–,–,–,–,–,9.5
44,Opina/Cadena SER[p 79][p 80],31 Jan 2004,1000,?,41.0,37.0,4.0,4.0,2.0,–,–,–,–,–,–,–,–,–,–,4.0
45,Opina/El País[p 81][p 82],25 Jan 2004,3000,?,42.5171/175,37.0135/138,5.58/11,3.512,1.57,1.02,1.35,–,1.54,0.82,0.51,–,–,–,–,5.5
46,Gallup[p 83],5–22 Jan 2004,2028,68.3,41.9,36.2,6.7,4.3,1.7,–,–,–,–,–,–,–,–,–,–,5.7
47,Vox Pública/El Periódico[p 84],19–21 Jan 2004,1501,?,43.0170/175,38.0138/142,5.58/10,3.010/11,1.57,–,–,–,–,–,–,–,–,–,–,5.0
48,Opina/Cadena SER[p 85][p 86][p 87],16 Jan 2004,1000,?,42.0,38.0,4.5,3.5,1.5,–,–,–,–,–,–,–,–,–,–,4.0
49,Noxa/La Vanguardia[p 88],7–9 Jan 2004,1000,?,42.6174,36.5137,7.211,3.010,2.19,–,1.04,–,1.43,–,w.PNV,–,–,–,–,6.1
50,Sigma Dos/El Mundo[p 89][p 1],4 Jan 2004,?,?,44.6,33.9,6.2,3.8,1.3,–,–,–,–,–,–,–,–,–,–,10.7
51,Opina/Cadena SER[p 90][p 91][p 92],2 Jan 2004,?,?,42.0,40.0,6.0,3.5,2.0,–,–,–,–,–,–,–,–,–,–,2.0
52,Gallup[p 93][p 94],1–19 Dec 2003,2025,70.0,44.1,35.2,6.1,3.6,1.6,–,–,–,–,–,–,–,–,–,–,8.9
53,Celeste-Tel/La Razón[p 95][p 34],7 Dec 2003,?,?,43.0,35.5,5.9,3.6,2.0,–,–,–,–,–,–,–,–,–,–,7.5
54,Sigma Dos/El Mundo[p 96][p 1],7 Dec 2003,?,?,44.8,33.7,6.1,3.9,1.5,–,–,–,–,–,–,–,–,–,–,11.1
55,Opina/El País[p 97][p 98],7 Dec 2003,1000,?,42.0,39.0,5.5,4.0,2.0,–,–,–,–,–,–,–,–,–,–,3.0
56,Metra Seis/Colpisa[p 99][p 95][p 34],2–5 Dec 2003,?,?,44.5178/185,33.1121/125,6.38/9,4.114/15,1.47,–,–,–,–,–,–,–,–,–,–,11.4
57,Gallup[p 100][p 101],4–25 Nov 2003,2032,70.5,43.3,36.5,6.7,3.5,1.6,–,–,–,–,–,–,–,–,–,–,6.8
58,Opina/Cadena SER[p 102][p 103],19 Nov 2003,1000,?,42.0,39.0,5.0,4.0,2.0,–,–,–,–,–,–,–,–,–,–,3.0
59,CIS[p 104][p 105],25–31 Oct 2003,2488,?,42.4,34.7,5.9,4.0,1.4,1.3,–,–,–,–,–,–,–,–,–,7.7
60,Gallup[p 106][p 107],3–22 Oct 2003,2016,69.9,42.4,36.8,6.2,3.4,1.6,–,–,–,–,–,–,–,–,–,–,5.6
61,Intercampo/GETS[p 108][p 109][p 110],17 Sep–2 Oct 2003,1714,?,43.8,34.3,6.4,3.8,1.5,–,–,–,–,–,–,–,–,–,–,9.5
62,Sigma Dos/El Mundo[p 111][p 95][p 34],28 Sep 2003,?,?,43.8,35.3,5.1,4.0,1.4,–,–,–,–,–,–,–,–,–,–,8.5
63,Opina/Cadena SER[p 112][p 113],24 Sep 2003,1000,?,42.0,39.0,6.5,4.0,2.0,–,–,–,–,–,–,–,–,–,–,3.0
64,Vox Pública/El Periódico[p 114],22–24 Sep 2003,1502,?,44.2,37.1,6.0,3.0,1.6,–,–,–,–,–,–,–,–,–,–,7.1
65,Gallup[p 115],1–24 Sep 2003,2027,71.2,43.0,35.3,7.2,3.5,1.6,–,–,–,–,–,–,–,–,–,–,7.7
66,Opina/Cadena SER[p 116][p 117][p 118],10 Sep 2003,1000,?,42.0,39.0,5.0,4.0,2.0,–,–,–,–,–,–,–,–,–,–,3.0
67,Opina/El País[p 119][p 120][p 121],7 Sep 2003,1000,?,42.0,38.0,6.5,5.5,1.8,–,–,–,–,–,–,–,–,–,–,4.0
68,Celeste-Tel/La Razón[p 95][p 34],7 Sep 2003,?,?,43.2,35.3,5.9,3.7,1.9,–,–,–,–,–,–,–,–,–,–,7.9
69,Opina/Cadena SER[p 122][p 117],2 Sep 2003,1000,?,42.0,39.0,6.0,5.0,2.0,–,–,–,–,–,–,–,–,–,–,3.0
70,Opina/Cadena SER[p 123][p 124],27 Aug 2003,1000,?,42.0,39.0,6.5,5.5,2.0,–,–,–,–,–,–,–,–,–,–,3.0
71,Gallup[p 125],1–18 Aug 2003,2026,70.2,43.6,36.5,5.4,3.7,1.5,–,–,–,–,–,–,–,–,–,–,7.1
72,Gallup[p 126],1–24 Jul 2003,2032,70.7,42.9,37.4,5.9,3.4,1.4,–,–,–,–,–,–,–,–,–,–,5.5
73,Sigma Dos/El Mundo[p 127][p 95][p 95][p 34],20 Jul 2003,?,?,42.8,35.9,5.6,3.9,1.5,–,–,–,–,–,–,–,–,–,–,6.9
74,CIS[p 128][p 129][p 130],2–8 Jul 2003,2476,?,41.2,35.2,6.3,3.8,1.2,1.5,–,–,–,–,–,–,–,–,–,6.0
75,Ibecom/La Razón[p 95][p 34],6 Jul 2003,?,?,43.6,33.9,4.4,4.3,1.3,–,–,–,–,–,–,–,–,–,–,9.7
76,Opina/Cadena SER[p 131][p 132],1 Jul 2003,1000,?,40.0,39.0,5.0,5.0,2.0,–,–,–,–,–,–,–,–,–,–,1.0
77,Sigma Dos/El Mundo[p 133][p 134],24–26 Jun 2003,1000,?,42.6,35.4,6.2,4.0,1.6,–,–,–,–,–,–,–,–,–,–,7.2
78,Vox Pública/El Periódico[p 135],23–25 Jun 2003,1502,?,41.6,37.5,5.9,3.1,1.2,–,–,–,–,–,–,–,–,–,–,4.1
79,Gallup[p 136][p 137],2–20 Jun 2003,2024,75.1,40.7,37.2,7.4,3.2,1.2,–,–,–,–,–,–,–,–,–,–,3.5
80,Opina/Cadena SER[p 138][p 139],11 Jun 2003,?,?,42.0,39.0,4.5,4.5,2.0,–,–,–,–,–,–,–,–,–,–,3.0
81,Opina/Cadena SER[p 140],28 May 2003,?,?,41.0,41.0,5.0,4.0,2.0,–,–,–,–,–,–,–,–,–,–,Tie
82,Gallup[p 141][p 142],5–26 May 2003,2026,73.4,38.4,38.8,6.8,2.9,1.4,–,–,–,–,–,–,–,–,–,–,0.4
83,2003 local elections,25 May 2003,,67.8,34.3,34.8,6.1,3.4,1.8,1.4,1.2,1.4,1.8,1.5,w.PNV,0.4,0.2,0.1,–,0.5
84,Opina/Cadena SER[p 143][p 140],15 May 2003,1000,?,39.0,39.0,6.0,4.0,1.8,–,–,–,–,–,–,–,–,–,–,Tie
85,CIS[p 144][p 145],24–30 Apr 2003,2494,74.2,37.3,39.5,6.3,3.3,1.3,1.3,–,–,–,–,–,–,–,–,–,2.2
86,Sigma Dos/El Mundo[p 146][p 95],27 Apr 2003,?,?,41.2,38.7,5.0,3.7,1.5,–,–,–,–,–,–,–,–,–,–,2.5
87,Noxa/La Vanguardia[p 147],22–24 Apr 2003,1000,?,39.3,42.3,6.1,3.2,1.5,–,–,–,–,–,–,–,–,–,–,3.0
88,Ipsos–Eco/ABC[p 148],22–24 Apr 2003,2254,?,33.9,39.4,6.1,3.8,1.7,–,–,–,–,–,–,–,–,–,–,5.5
89,Opina/Cadena SER[p 149][p 150][p 151],23 Apr 2003,1000,?,38.0,42.0,6.0,4.5,2.0,–,–,–,–,–,–,–,–,–,–,4.0
90,Gallup[p 152][p 153],1–22 Apr 2003,2020,70.2,35.8,43.2,6.3,3.5,1.6,–,–,–,–,–,–,–,–,–,–,7.4
91,Opina/Cadena SER[p 150],2 Apr 2003,?,?,36.5,43.0,6.0,4.2,2.0,–,–,–,–,–,–,–,–,–,–,6.5
92,Vox Pública/El Periódico[p 154],31 Mar–2 Apr 2003,1503,?,35.9,42.6,6.1,3.6,1.5,–,–,–,–,–,–,–,–,–,–,6.7
93,Sigma Dos/El Mundo[p 155][p 95],30 Mar 2003,?,?,38.6,40.7,5.1,3.6,1.5,–,–,–,–,–,–,–,–,–,–,2.1
94,Opina/El País[p 156][p 157],25–26 Mar 2003,1000,?,36.0,42.0,6.2,4.2,2.0,–,–,–,–,–,–,–,–,–,–,6.0
95,Gallup[p 158][p 159],3–25 Mar 2003,2016,68.8,38.6,42.1,5.1,3.8,1.6,–,–,–,–,–,–,–,–,–,–,3.5
96,Opina/Cadena SER[p 160][p 161],21 Mar 2003,1000,?,37.0,43.0,6.0,4.0,1.8,–,–,–,–,–,–,–,–,–,–,6.0
97,Opina/Cadena SER[p 162][p 163],8 Mar 2003,1000,?,37.0,42.5,5.0,4.0,1.5,–,–,–,–,–,–,–,–,–,–,5.5
98,Gallup[p 164][p 165],3–24 Feb 2003,2028,68.5,39.7,39.8,5.5,3.7,1.6,–,–,–,–,–,–,–,–,–,–,0.1
99,Sigma Dos/El Mundo[p 166][p 167],18–20 Feb 2003,1000,?,38.5,40.2,5.6,3.9,1.5,–,–,–,–,–,–,–,–,–,–,1.7
100,Opina/Cadena SER[p 168][p 169],19 Feb 2003,1000,?,38.0,42.0,5.5,4.0,1.8,–,–,–,–,–,–,–,–,–,–,4.0
101,Opina/Cadena SER[p 170],6 Feb 2003,?,?,38.0,42.0,5.0,4.0,1.8,–,–,–,–,–,–,–,–,–,–,4.0
102,Opina/El País[p 171][p 172],3 Feb 2003,1000,?,40.0,42.0,4.0,4.0,1.5,–,–,–,–,–,–,–,–,–,–,2.0
103,CIS[p 173][p 174],21–26 Jan 2003,2480,74.4,39.8,37.3,5.5,3.7,1.5,1.4,–,–,–,–,–,–,–,–,–,2.5
104,Gallup[p 175][p 176],7–23 Jan 2003,2034,68.9,39.6,39.5,4.9,3.3,1.6,–,–,–,–,–,–,–,–,–,–,0.1
105,Opina/Cadena SER[p 177][p 178],22 Jan 2003,1000,?,41.0,41.0,5.0,4.0,1.6,–,–,–,–,–,–,–,–,–,–,Tie
106,Sigma Dos/El Mundo[p 179][p 167],20 Jan 2003,?,?,41.6,38.6,4.9,3.9,1.3,–,–,–,–,–,–,–,–,–,–,3.0
107,Vox Pública/El Periódico[p 180],13–16 Jan 2003,1501,?,40.4,39.0,6.0,3.3,1.1,–,–,–,–,–,–,–,–,–,–,1.4
108,Opina/Cadena SER[p 181][p 182][p 183],8 Jan 2003,1000,?,41.0,41.0,4.8,4.5,1.8,–,–,–,–,–,–,–,–,–,–,Tie
109,Gallup[p 184][p 185],2–23 Dec 2002,2011,68.5,38.2,40.8,5.0,4.0,1.4,–,–,–,–,–,–,–,–,–,–,2.6
110,Opina/Cadena SER[p 186][p 187][p 188],17 Dec 2002,1000,?,39.0,42.0,5.0,4.0,1.5,–,–,–,–,–,–,–,–,–,–,3.0
111,Sigma Dos/El Mundo[p 189][p 190],9–11 Dec 2002,1000,?,41.7,38.8,4.7,3.7,1.4,–,–,–,–,–,–,–,–,–,–,2.9
112,Opina/Cadena SER[p 191][p 192],4 Dec 2002,1000,?,41.0,41.0,5.0,4.0,1.5,–,–,–,–,–,–,–,–,–,–,Tie
113,La Vanguardia[p 193],25 Nov 2002,?,?,38.6153,40.0154,?7,?14,–,–,–,–,–,–,–,–,–,–,–,1.4
114,Gallup[p 194][p 195],4–25 Nov 2002,2018,70.0,40.6,39.8,5.4,3.3,1.2,–,–,–,–,–,–,–,–,–,–,0.8
115,Opina/El País[p 196],23–24 Nov 2002,1000,?,40.0,40.0,5.0,4.5,1.8,–,–,–,–,–,–,–,–,–,–,Tie
116,Opina/Cadena SER[p 197][p 198],20 Nov 2002,1000,?,42.0,40.0,5.0,4.8,1.5,–,–,–,–,–,–,–,–,–,–,2.0
117,Sigma Dos/El Mundo[p 199][p 200],5–8 Nov 2002,3400,?,41.9,38.4,4.6,4.0,1.4,–,–,–,–,–,–,–,–,–,–,3.5
118,Opina/Cadena SER[p 201][p 202],6 Nov 2002,1000,?,41.0,41.0,5.0,4.0,1.8,–,–,–,–,–,–,–,–,–,–,Tie
119,Opina/El País[p 203],28–29 Oct 2002,?,?,41.0,41.0,5.2,4.0,1.7,–,–,–,–,–,–,–,–,–,–,Tie
120,Gallup[p 204][p 205],1–24 Oct 2002,2018,69.4,42.7,37.2,5.1,3.8,1.4,–,–,–,–,–,–,–,–,–,–,5.5
121,Opina/Cadena SER[p 206][p 207],23 Oct 2002,1000,?,41.0,39.5,5.1,4.0,1.5,–,–,–,–,–,–,–,–,–,–,1.5
122,Ibecom/La Razón[p 208][p 209][p 210][p 95],17–21 Oct 2002,?,?,43.5,38.7,2.9,3.1,1.1,–,–,–,–,–,–,–,–,–,–,4.8
123,CIS[p 211][p 212],16–21 Oct 2002,2489,74.6,41.5,37.3,4.6,3.7,1.4,1.2,–,–,–,–,–,–,–,–,–,4.2
124,Sigma Dos/El Mundo[p 213][p 200],14 Oct 2002,?,?,41.8,37.9,5.0,4.2,1.5,–,–,–,–,–,–,–,–,–,–,3.9
125,Opina/Cadena SER[p 214][p 215],9 Oct 2002,1000,?,42.0,38.5,5.0,4.0,2.0,–,–,–,–,–,–,–,–,–,–,3.5
126,Vox Pública/El Periódico[p 216],7–9 Oct 2002,1507,?,42.4165/170,38.7145/150,4.8?,3.3?,1.2?,–,–,–,–,–,–,–,–,–,–,3.7
127,CIS[p 217],9 Sep–9 Oct 2002,10476,75.6,41.0,37.1,5.4,4.0,1.5,1.2,–,–,–,–,–,–,–,–,–,3.9
128,Intercampo/GETS[p 109],18 Sep–3 Oct 2002,?,?,41.6,36.6,5.6,4.4,1.5,–,–,–,–,–,–,–,–,–,–,5.0
129,Opina/El País[p 218][p 219],29 Sep 2002,?,?,42.0,39.0,4.5,3.8,1.6,0.9,0.9,0.8,1.0,0.3,–,–,–,–,–,3.0
130,Opina/Cadena SER[p 220][p 221],25 Sep 2002,1000,?,41.0,39.0,5.0,4.0,2.0,–,–,–,–,–,–,–,–,–,–,2.0
131,Ipsos–Eco/ABC[p 222],6–13 Sep 2002,2010,?,40.7,37.6,5.7,4.0,1.5,1.4,–,–,–,–,–,–,–,–,–,3.1
132,Opina/Cadena SER[p 223][p 224],10 Sep 2002,1000,?,42.0,39.5,5.0,4.0,1.7,–,–,–,–,–,–,–,–,–,–,2.5
133,Opina/Cadena SER[p 225][p 226][p 227],27 Aug 2002,1000,?,41.0,41.0,5.5,4.0,1.8,–,–,–,–,–,–,–,–,–,–,Tie
134,Gallup[p 228],1–23 Aug 2002,2008,68.0,42.1,38.0,5.5,3.1,1.4,–,–,–,–,–,–,–,–,–,–,4.1
135,Gallup[p 229],2–29 Jul 2002,2013,67.8,42.5,38.0,5.7,3.4,1.4,–,–,–,–,–,–,–,–,–,–,4.5
136,CIS[p 230][p 231],16–21 Jul 2002,2482,74.0,41.0,36.3,5.0,4.2,1.4,1.2,–,–,–,–,–,–,–,–,–,4.7
137,Sigma Dos/El Mundo[p 232][p 200],14 Jul 2002,?,?,43.3,36.2,5.7,3.9,1.5,–,–,–,–,–,–,–,–,–,–,7.1
138,La Vanguardia[p 233][p 234],26–30 Jun 2002,2494,?,39.2158,36.8145,6.39,3.513,–,–,–,–,–,–,–,–,–,–,–,2.4
139,Opina/Cadena SER[p 235][p 236],27 Jun 2002,1000,?,41.0,40.0,5.0,4.0,2.0,–,–,–,–,–,–,–,–,–,–,1.0
140,Vox Pública/El Periódico[p 237],24–26 Jun 2002,1504,?,41.9,38.7,5.9,3.1,1.1,–,–,–,–,–,–,–,–,–,–,3.2
141,Gallup[p 238],1–24 Jun 2002,2016,68.3,42.7,36.8,5.7,4.2,1.6,–,–,–,–,–,–,–,–,–,–,5.9
142,Opina/Cadena SER[p 236][p 239],21 Jun 2002,?,?,41.0,39.5,5.0,4.5,2.0,–,–,–,–,–,–,–,–,–,–,1.5
143,Opina/Cadena SER[p 240][p 236][p 239],5 Jun 2002,1000,?,41.0,39.0,5.0,4.5,2.5,–,–,–,–,–,–,–,–,–,–,2.0
144,La Vanguardia[p 233][p 241],20–26 May 2002,2496,?,40.0162,36.9142,6.68,4.115,–,–,–,–,–,–,–,–,–,–,–,3.1
145,Opina/Cadena SER[p 242][p 243],22 May 2002,1000,?,41.0,40.0,5.0,4.5,2.0,–,–,–,–,–,–,–,–,–,–,1.0
146,Gallup[p 244],3–22 May 2002,2010,70.2,42.3,37.6,5.3,3.6,1.5,–,–,–,–,–,–,–,–,–,–,4.7
147,Opina/Cadena SER[p 245][p 246],8 May 2002,1000,?,41.0,39.0,5.0,4.5,2.0,–,–,–,–,–,–,–,–,–,–,2.0
148,Sigma Dos/El Mundo[p 247][p 200],3 May 2002,?,?,43.2,37.2,4.7,3.5,1.5,–,–,–,–,–,–,–,–,–,–,6.0
149,Opina/Cadena SER[p 248][p 249],24 Apr 2002,1000,?,42.0,39.0,5.0,4.5,2.0,–,–,–,–,–,–,–,–,–,–,3.0
150,Gallup[p 250],1–23 Apr 2002,2017,68.2,41.8,37.6,5.0,4.2,1.7,–,–,–,–,–,–,–,–,–,–,4.2
151,CIS[p 251][p 252],16–21 Apr 2002,2498,73.9,42.4,34.4,5.4,4.4,1.5,1.5,–,–,–,–,–,–,–,–,–,8.0
152,Vox Pública/El Periódico[p 253],15–17 Apr 2002,1510,?,42.5,37.6,5.2,3.9,1.4,–,–,–,–,–,–,–,–,–,–,4.9
153,Opina/Cadena SER[p 254][p 255],10 Apr 2002,1000,?,42.0,38.5,5.0,4.5,2.0,–,–,–,–,–,–,–,–,–,–,3.5
154,Gallup[p 256],4–27 Mar 2002,2029,68.3,41.8,36.9,5.8,3.7,1.7,–,–,–,–,–,–,–,–,–,–,4.9
155,Opina/Cadena SER[p 257][p 258],26 Mar 2002,1000,?,42.0,38.0,5.0,5.0,2.0,–,–,–,–,–,–,–,–,–,–,4.0
156,Opina/Cadena SER[p 259][p 260],12 Mar 2002,1000,?,42.0,39.0,5.0,4.5,2.0,–,–,–,–,–,–,–,–,–,–,3.0
157,Opina/Cadena SER[p 261][p 262],27 Feb 2002,1000,?,43.5,38.0,5.0,4.5,1.7,–,–,–,–,–,–,–,–,–,–,5.5
158,Gallup[p 263],4–27 Feb 2002,2030,70.3,43.1,37.1,5.0,3.4,1.4,–,–,–,–,–,–,–,–,–,–,6.0
159,Opina/Cadena SER[p 264][p 265],13 Feb 2002,1000,?,42.5,38.0,5.0,5.0,1.7,–,–,–,–,–,–,–,–,–,–,4.5
160,Vox Pública/El Periódico[p 266],4–5 Feb 2002,1506,?,44.1,36.8,4.9,3.4,1.7,–,–,–,–,–,–,–,–,–,–,7.3
161,CIS[p 267][p 268],27–31 Jan 2002,2498,74.3,43.9,34.2,5.8,4.0,1.5,1.2,–,–,–,–,–,–,–,–,–,9.7
162,Opina/Cadena SER[p 269][p 270],30 Jan 2002,1000,?,43.5,38.0,4.5,4.5,2.0,–,–,–,–,–,–,–,–,–,–,5.5
163,Gallup[p 271],4–29 Jan 2002,2031,70.1,43.2,36.8,5.4,3.5,1.6,–,–,–,–,–,–,–,–,–,–,6.4
164,Opina/Cadena SER[p 272][p 273],16 Jan 2002,1000,?,43.5,38.0,5.0,5.0,2.0,–,–,–,–,–,–,–,–,–,–,5.5
165,Opina/Cadena SER[p 274][p 275][p 276],3 Jan 2002,1000,?,43.5,38.5,5.0,4.5,2.0,–,–,–,–,–,–,–,–,–,–,5.0
