,firm,date,size,lead,PSOE,PP,IU,CDS,CiU,PNV,HB,PA,lead,UV,EA,EE,ERC,PAR,CC,lead,UA,UPCA,lead,lead
41,Sigma Dos/El Mundo,1 Feb 1993,?,?,36.5147/157,33.0133/138,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.5
42,COPE[p 42],23 Dec 1992,?,?,?149/153,?138/140,?18/19,?0,?18/19,?7/8,?5/6,?7/8,–,–,–,?1/2,–,–,–,–,–,–,–,?
43,Europa Press[p 43][p 44],23 Dec 1992,23000,?,?157/162,?119/123,?27/28,?2/3,?19/20,?6/8,–,–,–,–,–,–,–,–,–,–,–,–,–,?
44,Sigma Dos/El Mundo,14 Dec 1992,?,?,36.9,31.5,10.9,2.3,5.1,1.3,–,–,–,–,–,–,–,–,–,–,–,–,–,5.4
45,CIS[p 45][p 46],4–28 Nov 1992,27357,68.8,36.3155,31.0127,12.828,2.11,5.218,1.46,1.14,1.43,–,0.92,0.72,0.20,0.71,0.51,0.52,0.40,–,–,–,5.3
46,CIS[p 47][p 48],28 Oct–2 Nov 1992,2499,?,35.9,30.9,11.7,1.2,6.8,1.4,–,–,–,–,–,–,–,–,–,–,–,–,–,5.0
47,Sigma Dos/El Mundo[p 49][p 50],20–22 Oct 1992,3000,?,36.8,31.7,12.0,1.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,5.1
48,OTR–IS/El Periódico[p 51],17–19 Oct 1992,?,?,37.4,31.1,11.5,2.2,5.2,–,–,–,–,–,–,–,–,–,–,–,–,–,–,6.3
49,Sigma Dos/El Mundo,20 Sep 1992,?,?,38.4,31.0,10.4,2.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,7.4
50,PSOE[p 52],13 Sep 1992,20000,?,35.0–37.0150/155,30.0–31.0120,10.0–12.030,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,5.0–6.0
51,OTR–IS[p 53],16 Aug 1992,?,?,37.8,31.2,11.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,6.6
52,Sigma Dos/El Mundo,19 Jul 1992,?,?,37.1,31.6,12.4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,5.5
53,PSOE[p 54][p 55][p 56],1–10 Jul 1992,23000,?,35.2155/160,28.2121/128,12.228/30,5.33,?17,?7,?3,?3,–,?2,?2,?1,?2,?1,?1,?1,?1,–,–,7.0
54,PP[p 57][p 58],7 Jul 1992,2500,65,35.0,31.0,11.0,2.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.0
55,Opina/La Vanguardia[p 59],19–20 May 1992,1000,?,37.5,27.8,10.0,2.9,5.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,9.7
56,Sigma Dos/El Mundo[p 60][p 61],26 Apr 1992,?,?,37.6159/166,30.8118/125,10.623/25,1.41,?18/20,?5/6,–,–,–,–,–,–,–,–,–,–,–,–,–,6.8
57,PP,5 Apr 1992,?,?,38.0,31.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,7.0
58,PP[p 62],3 Mar 1992,?,?,37.0,30.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,7.0
59,Sigma Dos/El Mundo[p 63],29 Dec 1991,?,?,38.5,29.3,10.4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,9.2
60,Sigma Dos/El Mundo[p 64],22 Sep 1991,?,?,39.2,29.5,10.3,2.7,4.8,1.4,1.1,–,–,–,0.6,0.4,–,–,–,–,–,–,–,9.7
61,1991 local elections,26 May 1991,,62.8,38.3,25.7,8.4,3.9,4.9,1.6,1.1,1.8,0.4,1.0,0.7,0.4,0.5,0.7,0.8,0.6,0.1,0.4,–,12.6
62,PSOE[p 65],9 Apr 1991,?,?,41.5177,26.0108,10.7?,6.0?,5.0?,1.2?,–,–,–,–,–,–,–,–,–,–,–,–,–,15.5
63,Sigma Dos/El Mundo[p 66],26–28 Oct 1990,1000,?,39.1,28.2,10.8,4.6,5.0,1.2,1.1,1.3,–,–,0.6,0.5,–,–,–,–,–,–,–,10.9
64,OTR–IS/El Periódico[p 67],20 Sep–1 Oct 1990,?,?,38.3,27.2,10.2,3.9,5.3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,11.1
65,Sigma Dos/El Mundo[p 66],23 Sep 1990,?,?,39.5,28.1,10.4,4.7,5.0,1.2,1.1,1.2,–,–,0.6,0.5,–,–,–,–,–,–,–,11.4
66,Sigma Dos/El Mundo[p 66],25 Jul 1990,1000,?,39.8,27.4,10.2,5.2,4.8,1.2,1.1,1.3,–,–,0.1,0.5,–,–,–,–,–,–,–,12.4
67,Sigma Dos/El Mundo[p 66],24 Jun 1990,?,?,38.4,28.7,10.9,3.5,4.9,1.2,1.1,1.4,–,–,0.6,0.5,–,–,–,–,–,–,–,9.7
68,Sigma Dos/El Mundo[p 66],27 May 1990,?,?,36.5,29.2,12.1,4.4,5.0,1.1,1.1,1.3,–,–,0.7,0.5,–,–,–,–,–,–,–,7.3
69,ICP–Research/Diario 16[p 68],13 May 1990,?,?,39.5,22.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,17.4
70,Sigma Dos/El Mundo[p 66],22 Apr 1990,?,?,36.8,28.3,11.8,5.4,4.8,1.3,1.1,1.2,–,–,0.6,0.5,–,–,–,–,–,–,–,8.5
71,Sigma Dos/El Mundo[p 66],25 Mar 1990,?,?,37.6,28.4,11.7,4.2,4.9,1.2,1.1,1.3,–,–,0.6,0.5,–,–,–,–,–,–,–,9.2
72,Sigma Dos/El Mundo[p 66],25 Feb 1990,?,?,36.3,29.0,12.4,4.7,4.5,1.1,1.0,1.2,–,–,0.6,0.5,–,–,–,–,–,–,–,7.3
73,Sigma Dos/El Mundo[p 66],21 Jan 1990,?,?,37.0,29.1,10.4,5.9,4.9,1.2,1.0,1.1,–,–,0.6,0.5,–,–,–,–,–,–,–,7.9
74,Sigma Dos/El Mundo[p 66],31 Dec 1989,?,?,39.8,26.2,9.5,6.9,4.9,1.2,1.1,1.0,–,–,0.7,0.6,–,–,–,–,–,–,–,13.6
75,1989 general election,29 Oct 1989,,69.7,39.6175,25.8107,9.117,7.914,5.018,1.25,1.14,1.02,0.80,0.72,0.72,0.52,0.40,0.41,0.31,0.20,–,–,–,13.8
76,^ Undecided and/or abstentionists excluded.,,,,,,,,,,,,,,,,,,,,,,,
