,firm,date,size,lead,PSOE,PP,IU,CiU,CDS,PNV,CC,HB,ERC,PAR,EA,lead,UV,PA,lead
66,OTR–IS/El Periódico[p 87][p 88],7–16 Nov 1994,?,?,28.2,41.3,15.2,4.9,–,1.2,–,–,–,–,–,–,–,–,13.1
67,CIS[p 89][p 90],19–24 Oct 1994,2494,?,35.3,37.4,12.1,5.0,1.1,1.5,–,–,–,–,–,–,–,–,2.1
68,Gruppo/ABC[p 91],5–6 Oct 1994,1000,?,31.0–32.0,40.0–41.0,14.0–15.0,4.0–5.0,–,–,–,–,–,–,–,–,–,–,9.0
69,Opina/La Vanguardia[p 92],29 Sep–1 Oct 1994,2000,?,35.0,37.0,15.0,5.0,–,1.5,–,–,–,–,–,–,–,–,2.0
70,OTR–IS/El Periódico[p 93][p 87],26–30 Sep 1994,1204,?,29.8,39.6,14.7,4.9,–,1.4,–,–,–,–,–,–,–,–,9.8
71,Sigma Dos/El Mundo[p 94],5 Sep 1994,?,?,29.6,41.2,14.3,4.9,–,1.5,–,–,–,–,–,–,–,–,11.6
72,OTR–IS/El Periódico[p 95][p 96],27 Jun–13 Jul 1994,1200,?,28.4,41.6,14.7,5.1,–,1.2,–,–,–,–,–,–,–,–,13.2
73,CIS[p 97][p 98],1–5 Jul 1994,2492,78.8,31.1,40.2,11.7,4.5,0.6,1.3,–,–,–,–,–,–,–,–,9.1
74,1994 EP election,12 Jun 1994,,59.1,30.8116,40.1169,13.430,4.319,1.00,1.35,0.63,0.93,0.81,0.20,0.51,0.72,0.61,0.70,9.3
75,Sigma Dos–Vox Pública/Antena 3[p 99],3–4 Jun 1994,?,?,30.6,40.2,13.7,–,–,–,–,–,–,–,–,–,–,–,9.6
76,Vox Pública/El Periódico[p 100],31 May–2 Jun 1994,1303,61.8,30.5,40.7,15.2,4.1,1.3,–,–,–,–,–,–,–,–,–,10.2
77,Opina/La Vanguardia[p 101],30 May–1 Jun 1994,2000,?,34.0,39.0,14.0,5.0,1.0,1.5,–,0.5,–,–,–,–,–,–,5.0
78,Opina/La Vanguardia[p 102],8–11 Apr 1994,2000,?,36.0,38.0,12.0,5.0,1.0,1.5,–,0.5,–,–,–,–,–,–,2.0
79,OTR–IS/El Periódico[p 87],28 Mar–3 Apr 1994,?,?,34.5,37.8,11.6,–,–,–,–,–,–,–,–,–,–,–,3.3
80,Sigma Dos/El Mundo[p 103],23–24 Mar 1994,1000,?,34.4,37.7,11.2,4.5,–,–,–,–,–,–,–,–,–,–,3.3
81,Gallup/ABC[p 104],10 Jan–28 Feb 1994,4010,68.7,32.4,39.1,10.8,5.3,–,1.8,–,–,–,–,–,–,–,–,6.7
82,Iope–Etmar/Tele 5[p 105],19 Jan 1994,?,?,31.0,36.2,11.0,5.7,–,1.5,–,–,–,–,–,–,–,–,5.2
83,Sigma Dos/El Mundo[p 106],2 Jan 1994,?,?,36.0,36.5,11.6,4.8,0.6,1.3,–,0.9,–,–,–,–,–,–,0.5
84,Gallup/ABC[p 107],19–29 Dec 1993,1008,70.0,33.8,38.6,10.4,5.1,–,1.6,–,–,–,–,–,–,–,–,4.8
85,1993 general election,6 Jun 1993,,76.4,38.8159,34.8141,9.618,4.917,1.80,1.25,0.94,0.92,0.81,0.61,0.51,0.50,0.51,0.40,4.0
